Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,fit_guess,fit_guess,pwlf/pwlf.py/PiecewiseLinFit,1137.0,1145.0,['The parameters [ bounds ] are added to the method fit_guess from the module pwlf/pwlf.py in class PiecewiseLinFit'],b9c9f3ae95016b67fd54b5de1ccb53bb365ec8bc,,,
Add Parameter,fitfast,fitfast,pwlf/pwlf.py/PiecewiseLinFit,984.0,988.0,['The parameters [ bounds ] are added to the method fitfast from the module pwlf/pwlf.py in class PiecewiseLinFit'],b9c9f3ae95016b67fd54b5de1ccb53bb365ec8bc,,,
Rename Method,fitWithBreaks,fit_with_breaks,pwlf/pwlf.py/piecewise_lin_fit,474.0,490.0,['The method fitWithBreaks from the module pwlf/pwlf.py in class piecewise_lin_fit is renamed to fit_with_breaks'],bc8930fddee4ab583b3e40e4bca0994e440573ed,,,
Rename Method,fitWithBreaksOpt,fit_with_breaks_opt,pwlf/pwlf.py/piecewise_lin_fit,599.0,618.0,['The method fitWithBreaksOpt from the module pwlf/pwlf.py in class piecewise_lin_fit is renamed to fit_with_breaks_opt'],bc8930fddee4ab583b3e40e4bca0994e440573ed,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,37.0,37.0,['The parameters [ rcond ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],bf67d7d36a1a5009947b464b6381a9d26d9af1bd,,,
Add Parameter,predict,predict,pwlf/pwlf.py/PiecewiseLinFit,307.0,307.0,['The parameters [ x ] are added to the method predict from the module pwlf/pwlf.py in class PiecewiseLinFit'],c04ddca4a64daf7968e8f0b02f01155d67a676a9,,,
Add Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,37.0,37.0,['The parameters [ seed ] are added to the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit'],c6eb763bd514ff6d2323af9eb1c3b33052bd05b2,,,
Remove Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ dtype ] of the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],d114f4e833e958abd189e98b39ce2c7831af89f3,,,
Remove Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ fast ] of the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],d1b5a88f77829b5d890e11440ff21abcaef3f276,,,
Add Parameter,predict,predict,pwlf/pwlf.py/PiecewiseLinFit,319.0,319.0,['The parameters [ beta breaks ] are added to the method predict from the module pwlf/pwlf.py in class PiecewiseLinFit'],d298db562c691804e30d9cd111539b2bb6e04b20,,,
Remove Parameter,__init__,__init__,pwlf/pwlf.py/PiecewiseLinFit,38.0,38.0,['The parameters [ sorted_data ] of the method __init__ from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],dc0848a2d5f03ce8d42da7a54841c8a6b4c59018,,,
Remove Parameter,assemble_regression_matrix,assemble_regression_matrix,pwlf/pwlf.py/PiecewiseLinFit,186.0,163.0,['The parameters [ x_ordered ] of the method assemble_regression_matrix from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],dc0848a2d5f03ce8d42da7a54841c8a6b4c59018,,,
Remove Parameter,predict,predict,pwlf/pwlf.py/PiecewiseLinFit,540.0,516.0,['The parameters [ sorted_data ] of the method predict from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],dc0848a2d5f03ce8d42da7a54841c8a6b4c59018,,,
Remove Parameter,prediction_variance,prediction_variance,pwlf/pwlf.py/PiecewiseLinFit,1461.0,1410.0,['The parameters [ sorted_data ] of the method prediction_variance from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],dc0848a2d5f03ce8d42da7a54841c8a6b4c59018,,,
Remove Parameter,predict,predict,pwlf/pwlf.py/PiecewiseLinFit,307.0,307.0,['The parameters [ x ] of the method predict from the module pwlf/pwlf.py in class PiecewiseLinFit is/are removed'],f2dbb89b152cd02bfd05029674624fd1593fb700,,,
Add Parameter,fit,fit,pwlf/pwlf.py/PiecewiseLinFit,266.0,483.0,['The parameters [ x_c y_c ] are added to the method fit from the module pwlf/pwlf.py in class PiecewiseLinFit'],f66150cc5db5fa17448e4fbfaae5d1dc5d58edb4,,,
Rename Method,test_not_supported,test_not_supported_fit,tests/tests.py/TestEverything,469.0,469.0,['The method test_not_supported from the module tests/tests.py in class TestEverything is renamed to test_not_supported_fit'],f6aa0d32dacde5365ff997bcff46611321772cf9,,,
Add Parameter,conlstsq,conlstsq,pwlf/pwlf.py/PiecewiseLinFit,1488.0,1498.0,['The parameters [ calc_slopes ] are added to the method conlstsq from the module pwlf/pwlf.py in class PiecewiseLinFit'],fc3182bd47f8aba5432f5ca7e7c96d8b7a91970e,,,
Add Parameter,lstsq,lstsq,pwlf/pwlf.py/PiecewiseLinFit,1450.0,1450.0,['The parameters [ calc_slopes ] are added to the method lstsq from the module pwlf/pwlf.py in class PiecewiseLinFit'],fc3182bd47f8aba5432f5ca7e7c96d8b7a91970e,,,
