Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit
Rename Method,_first_sibling,_next_sibling,pattern/web/__init__.py/Selector,3266.0,3296.0,['The method _first_sibling from the module pattern/web/__init__.py in class Selector is renamed to _next_sibling'],be792b0b5ae1b08c0f8efdc8f30b3eb4e2f61c75
Remove Parameter,__init__,__init__,pattern/server/__init__.py/HTTPError,575.0,590.0,['The parameters [ code ] of the method __init__ from the module pattern/server/__init__.py in class HTTPError is/are removed'],cd855b4c95dba0607c42f7809720e23ef9562e2b
Add Parameter,dump,dump,pattern/web/json/__init__.py,143.0,145.0,['The parameters [ bigint_as_string sort_keys item_sort_key ] are added to the method dump from the module pattern/web/json/__init__.py'],d64b5718b1ed186253cfc7cfa73777515a4e8db1
Add Parameter,dumps,dumps,pattern/web/json/__init__.py,224.0,245.0,['The parameters [ bigint_as_string sort_keys item_sort_key ] are added to the method dumps from the module pattern/web/json/__init__.py'],d64b5718b1ed186253cfc7cfa73777515a4e8db1
Rename Method,__nonzero__,__bool__,pattern/web/__init__.py/Node,3107.0,3107.0,['The method __nonzero__ from the module pattern/web/__init__.py in class Node is renamed to __bool__'],d8b9fa066803e1390a7f2086e54e1004f87b9d66
Add Parameter,load,load,pattern/db/__init__.py/CSV,1820.0,1856.0,['The parameters [ password ] are added to the method load from the module pattern/db/__init__.py in class CSV'],d9f37f5e136a704bda06c6d6b6c43385ff5885e5
Add Parameter,save,save,pattern/db/__init__.py/CSV,1796.0,1831.0,['The parameters [ password ] are added to the method save from the module pattern/db/__init__.py in class CSV'],d9f37f5e136a704bda06c6d6b6c43385ff5885e5
Add Parameter,run,run,pattern/server/__init__.py/Application,1041.0,1058.0,['The parameters [ ssl ] are added to the method run from the module pattern/server/__init__.py in class Application'],da07613896cb1b265945a2e4b1c228b08802554b
Rename Method,split,tree,pattern/text/de/__init__.py,242.0,242.0,['The method split from the module pattern/text/de/__init__.py is renamed to tree'],dbaee82b6cf6efcee6c956ee78fd8d3c16492d05
Rename Method,split,tree,pattern/text/es/__init__.py,221.0,221.0,['The method split from the module pattern/text/es/__init__.py is renamed to tree'],dbaee82b6cf6efcee6c956ee78fd8d3c16492d05
Rename Method,split,tree,pattern/text/it/__init__.py,166.0,166.0,['The method split from the module pattern/text/it/__init__.py is renamed to tree'],dbaee82b6cf6efcee6c956ee78fd8d3c16492d05
Rename Method,split,tree,pattern/text/nl/__init__.py,195.0,195.0,['The method split from the module pattern/text/nl/__init__.py is renamed to tree'],dbaee82b6cf6efcee6c956ee78fd8d3c16492d05
Rename Method,split,tree,pattern/text/xx/__init__.py,177.0,177.0,['The method split from the module pattern/text/xx/__init__.py is renamed to tree'],dbaee82b6cf6efcee6c956ee78fd8d3c16492d05
Add Parameter,__init__,__init__,pattern/server/__init__.py/Application,729.0,764.0,['The parameters [ owner ] are added to the method __init__ from the module pattern/server/__init__.py in class Application'],e2203b8194125519559cec1b72ab6b595f8df347
Add Parameter,certificate,certificate,pattern/server/__init__.py,1150.0,1203.0,['The parameters [ signed ] are added to the method certificate from the module pattern/server/__init__.py'],e2203b8194125519559cec1b72ab6b595f8df347
Change/Rename Parameter,__iadd__,__iadd__,pattern/db/__init__.py/Date,143.0,155.0,['The parameters [ time ] of the method __iadd__ from the module pattern/db/__init__.py in class Date are changed/renamed to [t]'],e309577a92aaff88ba93c2ebf371963d305beedb
Change/Rename Parameter,__isub__,__isub__,pattern/db/__init__.py/Date,145.0,157.0,['The parameters [ time ] of the method __isub__ from the module pattern/db/__init__.py in class Date are changed/renamed to [t]'],e309577a92aaff88ba93c2ebf371963d305beedb
