Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,benchmark_lshensemble,benchmark_lshensemble,benchmark/lshensemble_benchmark.py,89.0,89.0,['The parameters [ storage_config ] are added to the method benchmark_lshensemble from the module benchmark/lshensemble_benchmark.py'],6325d63268da6863950a1b5e83bf6caaee3a98f2,,,,,,,
Add Parameter,__init__,__init__,datasketch/lshensemble.py/MinHashLSHEnsemble,95.0,106.0,['The parameters [ storage_config prepickle ] are added to the method __init__ from the module datasketch/lshensemble.py in class MinHashLSHEnsemble'],6325d63268da6863950a1b5e83bf6caaee3a98f2,,,,,,,
Add Parameter,__init__,__init__,datasketch/lsh.py/MinHashLSH,96.0,98.0,['The parameters [ hashfunc ] are added to the method __init__ from the module datasketch/lsh.py in class MinHashLSH'],64598b532998fc8491af2d47b0a8ba2aafb11772,,,,,,,
Add Parameter,__init__,__init__,datasketch/experimental/aio/lsh.py/AsyncMinHashLSH,43.0,46.0,['The parameters [ prepickle ] are added to the method __init__ from the module datasketch/experimental/aio/lsh.py in class AsyncMinHashLSH'],6e7d2283cb99a118dea919c5f77e567ba3df4c55,,,,,,,
Remove Parameter,__init__,__init__,datasketch/experimental/aio/lsh.py/AsyncMinHashLSH,44.0,43.0,['The parameters [ prepickle ] of the method __init__ from the module datasketch/experimental/aio/lsh.py in class AsyncMinHashLSH is/are removed'],82d9639bc0011932a952bbae1d4b5bd5ac03c7c8,,,,,,,
Remove Parameter,_integration,_integration,datasketch/lsh.py,20.0,18.0,['The parameters [ p ] of the method _integration from the module datasketch/lsh.py is/are removed'],847b63990fae19196411b9f9195b026fe4a1e461,,,,,,,
Change/Rename Parameter,jaccard,jaccard,datasketch/minhash.py,65.0,118.0,['The parameters [ minhashs ] of the method jaccard from the module datasketch/minhash.py are changed/renamed to [mhs]'],8aa435f08aa142f5a3d908a143e61a7efbf562fb,,,,,,,
Remove Parameter,jaccard,jaccard,datasketch/minhash.py,152.0,169.0,['The parameters [ mhs ] of the method jaccard from the module datasketch/minhash.py is/are removed'],8ad9fad0abfa87077c9216ad99294b4997147001,,,,,,,
Add Parameter,bytesize,bytesize,datasketch/lean_minhash.py/LeanMinHash,76.0,76.0,['The parameters [ byteorder ] are added to the method bytesize from the module datasketch/lean_minhash.py in class LeanMinHash'],a483b39fe4e444c372792e5c91c86d9d8d27a4a5,,,,,,,
Add Parameter,deserialize,deserialize,datasketch/lean_minhash.py/LeanMinHash,93.0,147.0,['The parameters [ byteorder ] are added to the method deserialize from the module datasketch/lean_minhash.py in class LeanMinHash'],a483b39fe4e444c372792e5c91c86d9d8d27a4a5,,,,,,,
Add Parameter,serialize,serialize,datasketch/lean_minhash.py/LeanMinHash,85.0,97.0,['The parameters [ byteorder ] are added to the method serialize from the module datasketch/lean_minhash.py in class LeanMinHash'],a483b39fe4e444c372792e5c91c86d9d8d27a4a5,,,,,,,
Extract Method,count,_linearcounting,datasketch/hyperloglog.py/HyperLogLog,,, The method _linearcounting from the module datasketch/hyperloglog.py in class HyperLogLog is extracted from method count from the module datasketch/hyperloglog.py in class HyperLogLog ,af8f676d288df96a57a7c76dd73babc535dfeecf,,,,,"(197,120)",114.0,[204.0]
Rename Class,HyperLogLogException,HyperLogLogPlusPlus,datasketch/hyperloglog.py,,, class HyperLogLogException was renamed to class HyperLogLogPlusPlus ,af8f676d288df96a57a7c76dd73babc535dfeecf,,,,,,,
Move Method,_get_alpha,_get_alpha,,,, method _get_alpha from the module datasketch/hyperloglog.py was moved to class HyperLogLog of module datasketch/hyperloglog.py ,af8f676d288df96a57a7c76dd73babc535dfeecf,datasketch/hyperloglog.py,datasketch/hyperloglog.py/HyperLogLog,120.0,36.0,,,
Remove Parameter,__init__,__init__,datasketch/lsh.py/LSH,71.0,71.0,['The parameters [ precision ] of the method __init__ from the module datasketch/lsh.py in class LSH is/are removed'],b993a2b1c00c313371d71387d2e87db667680bac,,,,,,,
Remove Parameter,_optimal_param,_optimal_param,datasketch/lsh.py,46.0,46.0,['The parameters [ precision ] of the method _optimal_param from the module datasketch/lsh.py is/are removed'],b993a2b1c00c313371d71387d2e87db667680bac,,,,,,,
Remove Parameter,_H,_H,datasketch/lsh.py/MinHashLSH,182.0,218.0,['The parameters [ self ] of the method _H from the module datasketch/lsh.py in class MinHashLSH is/are removed'],c2cd89598fb34a389a9e18f7ded8f7047b884354,,,,,,,
Add Parameter,__init__,__init__,datasketch/lsh.py/MinHashLSH,85.0,91.0,['The parameters [ storage_config prepickle ] are added to the method __init__ from the module datasketch/lsh.py in class MinHashLSH'],c2cd89598fb34a389a9e18f7ded8f7047b884354,,,,,,,
Extract Method,__init__,_init_permutations,datasketch/minhash.py/MinHash,,, The method _init_permutations from the module datasketch/minhash.py in class MinHash is extracted from method __init__ from the module datasketch/minhash.py in class MinHash ,d4d4a027d5dee7c09f180dd16668ed1f1603559c,,,,,"(60,60)",97.0,"[89.0, 93.0]"
Add Parameter,insert,insert,datasketch/lsh.py/MinHashLSH,127.0,136.0,['The parameters [ check_duplication ] are added to the method insert from the module datasketch/lsh.py in class MinHashLSH'],e5439a9a974ff1bc74334c95dab70f633c78c546,,,,,,,
Add Parameter,insertion_session,insertion_session,datasketch/lsh.py/MinHashLSH,139.0,151.0,['The parameters [ buffer_size ] are added to the method insertion_session from the module datasketch/lsh.py in class MinHashLSH'],e5439a9a974ff1bc74334c95dab70f633c78c546,,,,,,,
Add Parameter,__init__,__init__,datasketch/lsh.py/MinHashLSHInsertionSession,280.0,294.0,['The parameters [ buffer_size ] are added to the method __init__ from the module datasketch/lsh.py in class MinHashLSHInsertionSession'],e5439a9a974ff1bc74334c95dab70f633c78c546,,,,,,,
Extract Method,__exit__,close,datasketch/lsh.py/MinHashLSHInsertionSession,,, The method close from the module datasketch/lsh.py in class MinHashLSHInsertionSession is extracted from method __exit__ from the module datasketch/lsh.py in class MinHashLSHInsertionSession ,e5439a9a974ff1bc74334c95dab70f633c78c546,,,,,"(286,301)",304.0,"[287.0, 288.0, 289.0]"
Add Parameter,__init__,__init__,datasketch/hyperloglog.py/HyperLogLog,135.0,135.0,['The parameters [ reg ] are added to the method __init__ from the module datasketch/hyperloglog.py in class HyperLogLog'],eb363e44213d22a65e73b9f1843ca31623ab8446,,,,,,,
Rename Class,TestMinHash,TestHyperLogLog,test/hyperloglog_test.py,,, class TestMinHash was renamed to class TestHyperLogLog ,eb363e44213d22a65e73b9f1843ca31623ab8446,,,,,,,
Add Parameter,_run_minhash,_run_minhash,benchmark/similarity_benchmark.py,42.0,47.0,['The parameters [ b ] are added to the method _run_minhash from the module benchmark/similarity_benchmark.py'],f608e886ae9860f0ee4ca26425284e31070e2abf,,,,,,,
Add Parameter,_run_test,_run_test,benchmark/similarity_benchmark.py,64.0,69.0,['The parameters [ b ] are added to the method _run_test from the module benchmark/similarity_benchmark.py'],f608e886ae9860f0ee4ca26425284e31070e2abf,,,,,,,
Add Parameter,plot,plot,benchmark/similarity_benchmark.py,86.0,93.0,['The parameters [ b ] are added to the method plot from the module benchmark/similarity_benchmark.py'],f608e886ae9860f0ee4ca26425284e31070e2abf,,,,,,,
Add Parameter,run_full_tests,run_full_tests,benchmark/similarity_benchmark.py,72.0,79.0,['The parameters [ b ] are added to the method run_full_tests from the module benchmark/similarity_benchmark.py'],f608e886ae9860f0ee4ca26425284e31070e2abf,,,,,,,
Extract Method,_run_minhash,_b_bit_minhash_jaccard,benchmark/similarity_benchmark.py,,, The method _b_bit_minhash_jaccard from the module benchmark/similarity_benchmark.py is extracted from method _run_minhash from the module benchmark/similarity_benchmark.py ,f608e886ae9860f0ee4ca26425284e31070e2abf,,,,,"(42,47)",44.0,[51.0]
Change/Rename Parameter,__init__,__init__,datasketch/weighted_minhash.py/WeightedMinHash,12.0,15.0,['The parameters [ hashes ] of the method __init__ from the module datasketch/weighted_minhash.py in class WeightedMinHash are changed/renamed to [hashvalues]'],f81b9c8dac9f0c49b23b6ec584dbf6824b97dec1,,,,,,,
Rename Class,TestLSH,TestMinHashLSH,test/lsh_test.py,,, class TestLSH was renamed to class TestMinHashLSH ,f81b9c8dac9f0c49b23b6ec584dbf6824b97dec1,,,,,,,
Add Parameter,bootstrap_sets,bootstrap_sets,benchmark/lshensemble_benchmark.py,27.0,32.0,['The parameters [ pad_for_asym ] are added to the method bootstrap_sets from the module benchmark/lshensemble_benchmark.py'],ff34e735639b5082dff92f18d58cbf2a8a12cc29,,,,,,,
Add Parameter,__init__,__init__,datasketch/hyperloglog.py/HyperLogLog,58.0,59.0,['The parameters [ hashfunc ] are added to the method __init__ from the module datasketch/hyperloglog.py in class HyperLogLog'],ff34e735639b5082dff92f18d58cbf2a8a12cc29,,,,,,,
Add Parameter,__init__,__init__,datasketch/minhash.py/MinHash,56.0,60.0,['The parameters [ hashfunc ] are added to the method __init__ from the module datasketch/minhash.py in class MinHash'],ff34e735639b5082dff92f18d58cbf2a8a12cc29,,,,,,,
