Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,initialize,initialize,lib/gpu_stats.py/GPUStats,48.0,59.0,['The parameters [ log ] are added to the method initialize from the module lib/gpu_stats.py in class GPUStats'],779dd6028041dfb6219dab1185f24ce8c2e1caef,,,,,,,
Remove Parameter,load,load,plugins/train/model/_base.py/NNMeta,485.0,502.0,['The parameters [ predict ] of the method load from the module plugins/train/model/_base.py in class NNMeta is/are removed'],789084613d204a2423314ad79f004e23734a9ff0,,,,,,,
Add Parameter,__init__,__init__,plugins/extract/align/_base.py/Aligner,34.0,37.0,['The parameters [ model_filename colorspace input_size ] are added to the method __init__ from the module plugins/extract/align/_base.py in class Aligner'],7904b3210163b68c686a2df9f3550370b681a522,,,,,,,
Remove Parameter,crop,crop,plugins/extract/align/fan.py/Align,141.0,72.0,['The parameters [ resolution ] of the method crop from the module plugins/extract/align/fan.py in class Align is/are removed'],7904b3210163b68c686a2df9f3550370b681a522,,,,,,,
Change/Rename Parameter,get_pts_from_predict,get_pts_from_predict,plugins/extract/align/fan.py/Align,183.0,150.0,['The parameters [ var_a ] of the method get_pts_from_predict from the module plugins/extract/align/fan.py in class Align are changed/renamed to [prediction]'],7904b3210163b68c686a2df9f3550370b681a522,,,,,,,
Pull Up Method,process_landmarks,process_landmarks,,,, method process_landmarks from the module plugins/extract/align/fan.py in class Align was moved to class Aligner of module plugins/extract/align/_base.py ,7904b3210163b68c686a2df9f3550370b681a522,,,,plugins/extract/align/fan.py/Align,plugins/extract/align/_base.py/Aligner,75.0,149.0
Extract Method,process,_update_png_headers,tools/alignments/jobs.py/RemoveFaces,,, The method _update_png_headers from the module tools/alignments/jobs.py in class RemoveFaces is extracted from method process from the module tools/alignments/jobs.py in class RemoveFaces ,790a094d346d89abbd6f3881402e0cf5c7ee8754,"(659,659)",684.0,"[683.0, 684.0, 689.0, 690.0, 694.0, 695.0, 696.0, 698.0, 699.0, 700.0, 706.0, 709.0]",,,,
Remove Parameter,check_for_updates,check_for_updates,lib/gui/menu.py/ToolsMenu,200.0,204.0,['The parameters [ self ] of the method check_for_updates from the module lib/gui/menu.py in class ToolsMenu is/are removed'],79a61002b5ce0e9cc203311685b60f98088c549a,,,,,,,
Add Parameter,safe_shutdown,safe_shutdown,lib/utils.py,448.0,448.0,['The parameters [ got_error ] are added to the method safe_shutdown from the module lib/utils.py'],79d7493c353d64966bcd5b4ecb756910c4bc2208,,,,,,,
Extract Method,terminate,terminate_all_children,lib/gui/wrapper.py/FaceswapControl,,, The method terminate_all_children from the module lib/gui/wrapper.py in class FaceswapControl is extracted from method terminate from the module lib/gui/wrapper.py in class FaceswapControl ,7b5233d53e4ea01b95752d71e36d6dfd64c14f90,"(326,326)",355.0,"[354.0, 356.0, 357.0, 358.0, 359.0, 360.0, 361.0, 362.0, 363.0, 365.0, 367.0, 368.0, 369.0, 370.0, 371.0, 372.0, 374.0, 375.0, 376.0, 377.0]",,,,
Change Return Type,_split_lines,_split_lines,lib/cli/args.py/SmartFormatter,52.0,58.0,['The return type of method _split_lines from the module lib/cli/args.py in class SmartFormatter is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,_get_global_arguments,_get_global_arguments,lib/cli/args.py/FaceSwapArgs,157.0,173.0,['The return type of method _get_global_arguments from the module lib/cli/args.py in class FaceSwapArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_argument_list,get_argument_list,lib/cli/args.py/FaceSwapArgs,124.0,140.0,['The return type of method get_argument_list from the module lib/cli/args.py in class FaceSwapArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_optional_arguments,get_optional_arguments,lib/cli/args.py/FaceSwapArgs,142.0,158.0,['The return type of method get_optional_arguments from the module lib/cli/args.py in class FaceSwapArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
Change Return Type,get_argument_list,get_argument_list,lib/cli/args.py/ExtractConvertArgs,283.0,304.0,['The return type of method get_argument_list from the module lib/cli/args.py in class ExtractConvertArgs is updated'],7b9fc0454d982a2425ec44e90e5b05a87d149953,,,,,,,
