Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,perform_grid_search_by_model_names,perform_grid_search_by_model_names,auto_ml/predictor.py/Predictor,,,,['The parameters [ X ] of the method perform_grid_search_by_model_names from the module auto_ml/predictor.py in class Predictor are changed/renamed to [X_df]'],25f7abcfe694793a6089383b520bb0f2327546ed,526.0,524.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ ensembler ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2639d96db0e2811bc7744d4d771b1b93bb6169f8,429.0,449.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ num_weak_estimators ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2644d33016439805b3740c2117cbab6607264ab0,235.0,262.0,,,,
Extract Method,train,_train_subpredictor,auto_ml/predictor.py/Predictor,"(235,262)",235.0,"[277.0, 279.0, 281.0, 283.0, 285.0, 288.0, 298.0]", The method _train_subpredictor from the module auto_ml/predictor.py in class Predictor is extracted from method train from the module auto_ml/predictor.py in class Predictor ,2644d33016439805b3740c2117cbab6607264ab0,,,,,,
Add Parameter,_construct_pipeline,_construct_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_learning final_model_step_name ] are added to the method _construct_pipeline from the module auto_ml/predictor.py in class Predictor'],268262ba427759486e478ba4a5ae1009e71a87e3,105.0,113.0,,,,
Add Parameter,fit_grid_search,fit_grid_search,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_learning ] are added to the method fit_grid_search from the module auto_ml/predictor.py in class Predictor'],268262ba427759486e478ba4a5ae1009e71a87e3,478.0,571.0,,,,
Add Parameter,fit_single_pipeline,fit_single_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_learning ] are added to the method fit_single_pipeline from the module auto_ml/predictor.py in class Predictor'],268262ba427759486e478ba4a5ae1009e71a87e3,430.0,523.0,,,,
Add Parameter,set_params_and_defaults,set_params_and_defaults,auto_ml/predictor.py/Predictor,,,,['The parameters [ feature_learning fl_data ] are added to the method set_params_and_defaults from the module auto_ml/predictor.py in class Predictor'],268262ba427759486e478ba4a5ae1009e71a87e3,281.0,298.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ feature_learning ] are added to the method __init__ from the module auto_ml/utils_model_training.py in class FinalModelATC'],268262ba427759486e478ba4a5ae1009e71a87e3,30.0,30.0,,,,
Add Parameter,make_deep_learning_classifier,make_deep_learning_classifier,auto_ml/utils_models.py,,,,['The parameters [ feature_learning ] are added to the method make_deep_learning_classifier from the module auto_ml/utils_models.py'],268262ba427759486e478ba4a5ae1009e71a87e3,511.0,522.0,,,,
Add Parameter,make_deep_learning_model,make_deep_learning_model,auto_ml/utils_models.py,,,,['The parameters [ feature_learning ] are added to the method make_deep_learning_model from the module auto_ml/utils_models.py'],268262ba427759486e478ba4a5ae1009e71a87e3,486.0,486.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ interval_predictors ] are added to the method __init__ from the module auto_ml/utils_model_training.py in class FinalModelATC'],27d9967a03ca0ddec011b153d456fc9894faa156,35.0,35.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ verify_features ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2a23f676ce437e5c609df571f19dab0e3c9c12a7,521.0,521.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ add_cluster_prediction ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2a901c961b51294530628eabca4820384684a59a,173.0,174.0,,,,
Extract Method,_get_xgb_feat_importances,_get_trained_feature_names,auto_ml/predictor.py/Predictor,"(299,301)",362.0,"[310.0, 312.0, 313.0, 314.0, 317.0]", The method _get_trained_feature_names from the module auto_ml/predictor.py in class Predictor is extracted from method _get_xgb_feat_importances from the module auto_ml/predictor.py in class Predictor ,2a901c961b51294530628eabca4820384684a59a,,,,,,
Remove Parameter,_construct_pipeline,_construct_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ perform_feature_scaling ] of the method _construct_pipeline from the module auto_ml/predictor.py in class Predictor is/are removed'],2ac428f5c7e43d4587269e98be289c9238b73344,110.0,110.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ perform_feature_scaling ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2ac428f5c7e43d4587269e98be289c9238b73344,439.0,439.0,,,,
Add Parameter,__init__,__init__,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ training_features column_descriptions ] are added to the method __init__ from the module auto_ml/utils_model_training.py in class FinalModelATC'],2c32eb5b84438f929efc9628ee192db3711724fd,23.0,25.0,,,,
Add Parameter,predict,predict,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ verbose ] are added to the method predict from the module auto_ml/utils_model_training.py in class FinalModelATC'],2c32eb5b84438f929efc9628ee192db3711724fd,140.0,243.0,,,,
Add Parameter,predict_proba,predict_proba,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ verbose ] are added to the method predict_proba from the module auto_ml/utils_model_training.py in class FinalModelATC'],2c32eb5b84438f929efc9628ee192db3711724fd,96.0,199.0,,,,
Add Parameter,score,score,auto_ml/utils_model_training.py/FinalModelATC,,,,['The parameters [ verbose ] are added to the method score from the module auto_ml/utils_model_training.py in class FinalModelATC'],2c32eb5b84438f929efc9628ee192db3711724fd,80.0,183.0,,,,
Rename Method,test_get_ensemble_predictions_one_at_a_time,test_get_basic_ensemble_predictions_one_at_a_time_classifier,tests/ensemble_tests.py,,,,['The method test_get_ensemble_predictions_one_at_a_time from the module tests/ensemble_tests.py is renamed to test_get_basic_ensemble_predictions_one_at_a_time_classifier'],2c358cd809a89dadba32cb41ef7319034a4a3d98,52.0,52.0,,,,
Add Parameter,make_titanic_ensemble,make_titanic_ensemble,tests/utils_testing.py,,,,['The parameters [ method ] are added to the method make_titanic_ensemble from the module tests/utils_testing.py'],2c358cd809a89dadba32cb41ef7319034a4a3d98,70.0,70.0,,,,
Remove Parameter,_prepare_for_training,_prepare_for_training,auto_ml/predictor.py/Predictor,,,,['The parameters [ write_gs_param_results_to_file ] of the method _prepare_for_training from the module auto_ml/predictor.py in class Predictor is/are removed'],2c9ac71c9ec2fde46699eccd6b534b4e5af5b18d,122.0,122.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ user_input_func ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2d1472d2997e559777a6056f3c126b334847683f,19.0,20.0,,,,
Add Parameter,clean_val_nan_version,clean_val_nan_version,auto_ml/utils_data_cleaning.py,,,,['The parameters [ replacement_val ] are added to the method clean_val_nan_version from the module auto_ml/utils_data_cleaning.py'],2de0ccae19007a24a86cef813ff39eb430d4a1d7,39.0,40.0,,,,
Remove Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ add_cluster_prediction ] of the method train from the module auto_ml/predictor.py in class Predictor is/are removed'],2df49463693e48b32bfcd94f68596865aedc8ac2,314.0,290.0,,,,
Add Parameter,_train_subpredictor,_train_subpredictor,auto_ml/predictor.py/Predictor,,,,['The parameters [ sub_ml_analytics sub_compute_power ] are added to the method _train_subpredictor from the module auto_ml/predictor.py in class Predictor'],2f55482888a071d817ba3b9fa8fe78281fa08682,235.0,235.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ _scorer scoring ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],2fd6de537b1ce4278a7a50a5fb24983bd42948ad,515.0,519.0,,,,
Add Parameter,train_ensemble,train_ensemble,auto_ml/predictor.py/Predictor,,,,['The parameters [ scoring ] are added to the method train_ensemble from the module auto_ml/predictor.py in class Predictor'],2fd6de537b1ce4278a7a50a5fb24983bd42948ad,340.0,340.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ print_analytics_output ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],3080bf16d80ea0f4c22b4a92c0270c5588a50a3a,39.0,39.0,,,,
Add Parameter,fit_single_pipeline,fit_single_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ X_df y ] are added to the method fit_single_pipeline from the module auto_ml/predictor.py in class Predictor'],329bc0b873f42597bd655b817d65af426930d6da,477.0,546.0,,,,
Add Parameter,fit_transformation_pipeline,fit_transformation_pipeline,auto_ml/predictor.py/Predictor,,,,['The parameters [ model_name ] are added to the method fit_transformation_pipeline from the module auto_ml/predictor.py in class Predictor'],329bc0b873f42597bd655b817d65af426930d6da,500.0,574.0,,,,
Add Parameter,train,train,auto_ml/predictor.py/Predictor,,,,['The parameters [ cv ] are added to the method train from the module auto_ml/predictor.py in class Predictor'],329bc0b873f42597bd655b817d65af426930d6da,322.0,321.0,,,,
Extract Method,train,_prepare_for_verify_features,auto_ml/predictor.py/Predictor,"(322,321)",488.0,"[422.0, 423.0, 425.0]", The method _prepare_for_verify_features from the module auto_ml/predictor.py in class Predictor is extracted from method train from the module auto_ml/predictor.py in class Predictor ,329bc0b873f42597bd655b817d65af426930d6da,,,,,,
Extract Method,train,_calibrate_final_model,auto_ml/predictor.py/Predictor,"(322,321)",497.0,"[431.0, 432.0, 433.0, 437.0, 438.0, 440.0, 442.0, 455.0, 457.0, 458.0]", The method _calibrate_final_model from the module auto_ml/predictor.py in class Predictor is extracted from method train from the module auto_ml/predictor.py in class Predictor ,329bc0b873f42597bd655b817d65af426930d6da,,,,,,
Remove Parameter,perform_grid_search_by_model_names,perform_grid_search_by_model_names,auto_ml/predictor.py/Predictor,,,,['The parameters [ ppl ] of the method perform_grid_search_by_model_names from the module auto_ml/predictor.py in class Predictor is/are removed'],32a0c843906c8d32b1e5e2c88b54fb48ec0927df,407.0,413.0,,,,
