Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,hparams,layers,txtgen/modules/networks.py/FeedForwardNetwork,98.0,111.0,['The method hparams from the module txtgen/modules/networks.py in class FeedForwardNetwork is renamed to layers'],0ac875d1a09f90e6bbeb5a14748d30f7212c1074,,,,,,,
Add Parameter,_build,_build,texar/modules/networks.py/FeedForwardNetwork,69.0,70.0,['The parameters [ mode ] are added to the method _build from the module texar/modules/networks.py in class FeedForwardNetwork'],0b1470bc7003225c306d6a5841c3b92406373dd5,,,,,,,
Rename Method,encode,_build,txtgen/modules/encoders/encoder_base.py/EncoderBase,41.0,20.0,['The method encode from the module txtgen/modules/encoders/encoder_base.py in class EncoderBase is renamed to _build'],0b3b53be1a37522eae9810c83199724f2472d958,,,,,,,
Add Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,230.0,226.0,['The parameters [ beam_width ] are added to the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],0b5a4b87762991e4606224553b3899c1b5aabd10,,,,,,,
Extract Method,get_instance,get_class,txtgen/core/utils.py,,, The method get_class from the module txtgen/core/utils.py is extracted from method get_instance from the module txtgen/core/utils.py ,0b93811a3ed5b8098190ada79695b86397372e8b,"(21,50)",22.0,"[36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 44.0, 45.0]",,,,
Remove Parameter,seq2seq_pad_concat_convert,seq2seq_pad_concat_convert,examples/transformer/utils/data_utils.py,33.0,33.0,['The parameters [ n_gpu ] of the method seq2seq_pad_concat_convert from the module examples/transformer/utils/data_utils.py is/are removed'],0d7baf8ec479f4daba4fca688cda07bfccb296ec,,,,,,,
Extract Method,_get_action,_qvalues_from_qnet,texar/agents/dqn_agent.py/DQNAgent,,, The method _qvalues_from_qnet from the module texar/agents/dqn_agent.py in class DQNAgent is extracted from method _get_action from the module texar/agents/dqn_agent.py in class DQNAgent ,0e610cfd09964593a47df3fd59de946e5e59a45f,"(244,262)",244.0,[245.0],,,,
Extract Method,_get_action,_update_observ_action,texar/agents/dqn_agent.py/DQNAgent,,, The method _update_observ_action from the module texar/agents/dqn_agent.py in class DQNAgent is extracted from method _get_action from the module texar/agents/dqn_agent.py in class DQNAgent ,0e610cfd09964593a47df3fd59de946e5e59a45f,"(244,262)",256.0,"[257.0, 258.0, 260.0, 261.0]",,,,
Rename Method,get_position_embedding,_build,texar/modules/embedders/position_embedders.py/SinusoidsPositionEmbedder,211.0,216.0,['The method get_position_embedding from the module texar/modules/embedders/position_embedders.py in class SinusoidsPositionEmbedder is renamed to _build'],1037d4a5fdc402cf29b81c297b3f2d8abea39c79,,,,,,,
Rename Method,normalize,layer_normalize,texar/core/layers.py,1014.0,1014.0,['The method normalize from the module texar/core/layers.py is renamed to layer_normalize'],13608828e7f18419a60e1cbd244c2af070d5737c,,,,,,,
Rename Class,StochasticConnector,MLPTransformConnector,txtgen/modules/connectors/connectors.py,,, class StochasticConnector was renamed to class MLPTransformConnector ,136e5a9268a69a226f8dca30c621af45609a5d56,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/hierarchical_encoders.py/HierarchicalRNNEncoder,169.0,169.0,['The parameters [ initial_state_major initial_state_minor tiled_initial_state_minor ] are added to the method _build from the module texar/modules/encoders/hierarchical_encoders.py in class HierarchicalRNNEncoder'],13e644561a3f8f11babe91a1407dea1635d62337,,,,,,,
Rename Class,ConvEncoderBase,SimpleConvEncoder,texar/modules/encoders/conv_encoders.py,,, class ConvEncoderBase was renamed to class SimpleConvEncoder ,14925bd83c18535410119e979c037a98a6475630,,,,,,,
Rename Method,_build_inputs,build_inputs,texar/models/tsf/tsf.py/TSF,89.0,90.0,['The method _build_inputs from the module texar/models/tsf/tsf.py in class TSF is renamed to build_inputs'],151bd0b30ac2a967607d9f9aa7d16a6ec7114929,,,,,,,
Change/Rename Parameter,feed_dict,feed_dict,texar/models/tsf/tsf.py/TSF,298.0,299.0,['The parameters [ is_train ] of the method feed_dict from the module texar/models/tsf/tsf.py in class TSF are changed/renamed to [mode]'],151bd0b30ac2a967607d9f9aa7d16a6ec7114929,,,,,,,
Add Parameter,multihead_attention,multihead_attention,texar/core/layers.py,967.0,967.0,['The parameters [ queries_valid_length keys_valid_length ] are added to the method multihead_attention from the module texar/core/layers.py'],15c89efc11b4e7ad9789f264fb53e327fb72f25d,,,,,,,
Add Parameter,_build,_build,texar/modules/decoders/transformer_decoders.py/TransformerDecoder,71.0,71.0,['The parameters [ src_length tgt_length ] are added to the method _build from the module texar/modules/decoders/transformer_decoders.py in class TransformerDecoder'],15c89efc11b4e7ad9789f264fb53e327fb72f25d,,,,,,,
Add Parameter,_build,_build,texar/modules/encoders/transformer_encoders.py/TransformerEncoder,112.0,112.0,['The parameters [ inputs_length ] are added to the method _build from the module texar/modules/encoders/transformer_encoders.py in class TransformerEncoder'],15c89efc11b4e7ad9789f264fb53e327fb72f25d,,,,,,,
Change/Rename Parameter,observe,observe,texar/agents/seq_pg_agent.py/SeqPGAgent,202.0,335.0,['The parameters [ return_loss ] of the method observe from the module texar/agents/seq_pg_agent.py in class SeqPGAgent are changed/renamed to [compute_loss]'],15e9cbd67f406df8c99d8bb6992e6116694128a9,,,,,,,
