Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Change/Rename Parameter,_propagate_device_option,_propagate_device_option,tensorboardX/caffe2_graph.py,21.0,719.0,['The parameters [ net ] of the method _propagate_device_option from the module tensorboardX/caffe2_graph.py are changed/renamed to [net_def]'],3858986041e9f57ec2bfcbb7fba69d17a37655bb,,,,,,,
Remove Parameter,make_image,make_image,tensorboard/summary.py,184.0,185.0,['The parameters [ height width channel ] of the method make_image from the module tensorboard/summary.py is/are removed'],38e284c453bcdad445b300c832ec543f5a0e691e,,,,,,,
Add Parameter,append_pbtxt,append_pbtxt,tensorboardX/embedding.py,28.0,28.0,['The parameters [ subdir ] are added to the method append_pbtxt from the module tensorboardX/embedding.py'],38eadcdb44b4b8d16a494406799a978ce245cd7f,,,,,,,
Add Parameter,draw_boxes,draw_boxes,tensorboardX/summary.py,241.0,241.0,['The parameters [ labels ] are added to the method draw_boxes from the module tensorboardX/summary.py'],3e35c9b5f85e8ceb0294532d9eb772341a04c097,,,,,,,
Add Parameter,image_boxes,image_boxes,tensorboardX/summary.py,228.0,228.0,['The parameters [ labels ] are added to the method image_boxes from the module tensorboardX/summary.py'],3e35c9b5f85e8ceb0294532d9eb772341a04c097,,,,,,,
Add Parameter,make_image,make_image,tensorboardX/summary.py,256.0,256.0,['The parameters [ labels ] are added to the method make_image from the module tensorboardX/summary.py'],3e35c9b5f85e8ceb0294532d9eb772341a04c097,,,,,,,
Add Parameter,_add_event,_add_event,tensorboardX/writer.py/SummaryToEventTransformer,134.0,136.0,['The parameters [ walltime ] are added to the method _add_event from the module tensorboardX/writer.py in class SummaryToEventTransformer'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_graph,add_graph,tensorboardX/writer.py/SummaryToEventTransformer,104.0,106.0,['The parameters [ walltime ] are added to the method add_graph from the module tensorboardX/writer.py in class SummaryToEventTransformer'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_graph_onnx,add_graph_onnx,tensorboardX/writer.py/SummaryToEventTransformer,116.0,118.0,['The parameters [ walltime ] are added to the method add_graph_onnx from the module tensorboardX/writer.py in class SummaryToEventTransformer'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_session_log,add_session_log,tensorboardX/writer.py/SummaryToEventTransformer,122.0,124.0,['The parameters [ walltime ] are added to the method add_session_log from the module tensorboardX/writer.py in class SummaryToEventTransformer'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_summary,add_summary,tensorboardX/writer.py/SummaryToEventTransformer,82.0,82.0,['The parameters [ walltime ] are added to the method add_summary from the module tensorboardX/writer.py in class SummaryToEventTransformer'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_audio,add_audio,tensorboardX/writer.py/SummaryWriter,448.0,458.0,['The parameters [ walltime ] are added to the method add_audio from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_figure,add_figure,tensorboardX/writer.py/SummaryWriter,420.0,428.0,['The parameters [ walltime ] are added to the method add_figure from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_histogram,add_histogram,tensorboardX/writer.py/SummaryWriter,373.0,377.0,['The parameters [ walltime ] are added to the method add_histogram from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_image,add_image,tensorboardX/writer.py/SummaryWriter,389.0,394.0,['The parameters [ walltime ] are added to the method add_image from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_image_with_boxes,add_image_with_boxes,tensorboardX/writer.py/SummaryWriter,405.0,411.0,['The parameters [ walltime ] are added to the method add_image_with_boxes from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_pr_curve,add_pr_curve,tensorboardX/writer.py/SummaryWriter,597.0,607.0,['The parameters [ walltime ] are added to the method add_pr_curve from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_pr_curve_raw,add_pr_curve_raw,tensorboardX/writer.py/SummaryWriter,613.0,627.0,['The parameters [ walltime ] are added to the method add_pr_curve_raw from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_scalar,add_scalar,tensorboardX/writer.py/SummaryWriter,318.0,320.0,['The parameters [ walltime ] are added to the method add_scalar from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_scalars,add_scalars,tensorboardX/writer.py/SummaryWriter,330.0,333.0,['The parameters [ walltime ] are added to the method add_scalars from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
Add Parameter,add_text,add_text,tensorboardX/writer.py/SummaryWriter,464.0,474.0,['The parameters [ walltime ] are added to the method add_text from the module tensorboardX/writer.py in class SummaryWriter'],3e9913cb65769ccaff38ccef902ad33774251198,,,,,,,
