Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Extract Method,_give_name,_inspect_name,elfi/model/elfi_model.py/NodeReference,,, The method _inspect_name from the module elfi/model/elfi_model.py in class NodeReference is extracted from method _give_name from the module elfi/model/elfi_model.py in class NodeReference ,eb48b9b095e2200e1f7acbc6f448ff39f88c4145,,,,,"(475,478)",500.0,"[485.0, 490.0, 493.0, 494.0, 499.0, 500.0, 501.0, 502.0]"
Change/Rename Parameter,_stored,_stored,elfi/core.py/OutputHandler,307.0,309.0,['The parameters [ key ] of the method _stored from the module elfi/core.py in class OutputHandler are changed/renamed to [output_key]'],eb7f7c018587d83b684b84a548b50eb08a5a3cec,,,,,,,
Change/Rename Parameter,__init__,__init__,elfi/model/elfi_model.py/ComputationContext,123.0,123.0,['The parameters [ output_supply ] of the method __init__ from the module elfi/model/elfi_model.py in class ComputationContext are changed/renamed to [pool]'],ec71d884624a39be73f38e0cfcb3d359de68ccdb,,,,,,,
Add Parameter,log_SL_stdev,log_SL_stdev,elfi/methods/bsl/pre_sample_methods.py,98.0,102.0,['The parameters [ seed ] are added to the method log_SL_stdev from the module elfi/methods/bsl/pre_sample_methods.py'],ed693f4b06c6e730f9222c3e36f5a53883b9288b,,,,,,,
Add Parameter,plot_covariance_matrix,plot_covariance_matrix,elfi/methods/bsl/pre_sample_methods.py,53.0,55.0,['The parameters [ seed ] are added to the method plot_covariance_matrix from the module elfi/methods/bsl/pre_sample_methods.py'],ed693f4b06c6e730f9222c3e36f5a53883b9288b,,,,,,,
Add Parameter,plot_features,plot_features,elfi/methods/bsl/pre_sample_methods.py,19.0,19.0,['The parameters [ seed ] are added to the method plot_features from the module elfi/methods/bsl/pre_sample_methods.py'],ed693f4b06c6e730f9222c3e36f5a53883b9288b,,,,,,,
Rename Class,Acquisition,AcquisitionBase,elfi/bo/acquisition.py,,, class Acquisition was renamed to class AcquisitionBase ,ee82275868049880a4ca9d4a9c05236c58bfe2d2,,,,,,,
Change/Rename Parameter,__init__,__init__,elfi/methods/methods.py/BayesianOptimization,279.0,288.0,['The parameters [ exploration_rate ] of the method __init__ from the module elfi/methods/methods.py in class BayesianOptimization are changed/renamed to [pool]'],ee82275868049880a4ca9d4a9c05236c58bfe2d2,,,,,,,
Add Parameter,get_batch,get_batch,elfi/store.py/OutputPool,17.0,21.0,['The parameters [ outputs ] are added to the method get_batch from the module elfi/store.py in class OutputPool'],ee82275868049880a4ca9d4a9c05236c58bfe2d2,,,,,,,
Rename Method,set_context,init_context,elfi/store.py/ArrayPool,56.0,70.0,['The method set_context from the module elfi/store.py in class ArrayPool is renamed to init_context'],ee82275868049880a4ca9d4a9c05236c58bfe2d2,,,,,,,
Add Parameter,__init__,__init__,elfi/methods/inference/bolfire.py/BOLFIRE,28.0,28.0,['The parameters [ feature_names ] are added to the method __init__ from the module elfi/methods/inference/bolfire.py in class BOLFIRE'],f24d44ddf20ef1e3d5e792121a5b88e8527157a7,,,,,,,
Add Parameter,update,update,elfi/bo/gpy_model.py/GPyRegression,199.0,199.0,['The parameters [ optimize ] are added to the method update from the module elfi/bo/gpy_model.py in class GPyRegression'],f5b9b360941b0942e5a771e8e7074f62276d6401,,,,,,,
Add Parameter,get_model,get_model,elfi/examples/lotka_volterra.py,144.0,144.0,['The parameters [ observation_noise ] are added to the method get_model from the module elfi/examples/lotka_volterra.py'],f67c2ebdcaf3c06452ad8c9d66937191340ce401,,,,,,,
Rename Method,discrepancy_wrapper,discrepancy_transform,elfi/core.py,662.0,767.0,['The method discrepancy_wrapper from the module elfi/core.py is renamed to discrepancy_transform'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Method,summary_wrapper,summary_transform,elfi/core.py,644.0,717.0,['The method summary_wrapper from the module elfi/core.py is renamed to summary_transform'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Method,_prepare_operation,_init_transform,elfi/distributions.py/RandomVariable,186.0,214.0,['The method _prepare_operation from the module elfi/distributions.py in class RandomVariable is renamed to _init_transform'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Method,random_wrapper,random_transform,elfi/distributions.py,11.0,17.0,['The method random_wrapper from the module elfi/distributions.py is renamed to random_transform'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Class,SMC_Distribution,SMCProposal,elfi/distributions.py,,, class SMC_Distribution was renamed to class SMCProposal ,ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Change/Rename Parameter,inference_task,inference_task,examples/ma2.py,37.0,37.0,['The parameters [ params_obs ] of the method inference_task from the module examples/ma2.py are changed/renamed to [true_params]'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Method,test_inference,test_rejection,tests/functional/test_inference.py,8.0,8.0,['The method test_inference from the module tests/functional/test_inference.py is renamed to test_rejection'],ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
Rename Class,Test_stochastic_optimization,TestStochasticOptimization,tests/unit/test_utils.py,,, class Test_stochastic_optimization was renamed to class TestStochasticOptimization ,ff65e35cff92eb6554f739c6345a7fe96896f06f,,,,,,,
