Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Remove Parameter,bluff,bluff,decisionmaker/decisionmaker.py/Decision,309.0,313.0,['The parameters [ logger ] of the method bluff from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,bully,bully,decisionmaker/decisionmaker.py/Decision,376.0,380.0,['The parameters [ logger ] of the method bully from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,calling,calling,decisionmaker/decisionmaker.py/Decision,258.0,262.0,['The parameters [ logger ] of the method calling from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Remove Parameter,check_deception,check_deception,decisionmaker/decisionmaker.py/Decision,345.0,349.0,['The parameters [ logger ] of the method check_deception from the module decisionmaker/decisionmaker.py in class Decision is/are removed'],11afd16186c0ebab974385e568132c924e0c7655,,,,,,,
Add Parameter,start_logger,start_logger,debug_logger.py/debug_logger,4.0,4.0,['The parameters [ name ] are added to the method start_logger from the module debug_logger.py in class debug_logger'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,run_montecarlo,run_montecarlo,decisionmaker/montecarlo_v3.py/MonteCarlo,352.0,354.0,['The parameters [ logger ] are added to the method run_montecarlo from the module decisionmaker/montecarlo_v3.py in class MonteCarlo'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Remove Parameter,run_montecarlo_wrapper,run_montecarlo_wrapper,decisionmaker/montecarlo_v3.py,409.0,411.0,['The parameters [ terminalmode ] of the method run_montecarlo_wrapper from the module decisionmaker/montecarlo_v3.py is/are removed'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,__init__,__init__,main.py/Table,46.0,45.0,['The parameters [ gui_signals logger ] are added to the method __init__ from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_ocr_float,get_ocr_float,main.py/Table,182.0,185.0,['The parameters [ force_method ] are added to the method get_ocr_float from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,take_screenshot,take_screenshot,main.py/Table,124.0,127.0,['The parameters [ p ] are added to the method take_screenshot from the module main.py in class Table'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_current_bet_value,get_current_bet_value,main.py/TableScreenBased,797.0,800.0,['The parameters [ p ] are added to the method get_current_bet_value from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_current_call_value,get_current_call_value,main.py/TableScreenBased,775.0,778.0,['The parameters [ p ] are added to the method get_current_call_value from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_lost_everything,get_lost_everything,main.py/TableScreenBased,856.0,842.0,['The parameters [ h t ] are added to the method get_lost_everything from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_my_cards,get_my_cards,main.py/TableScreenBased,508.0,513.0,['The parameters [ h ] are added to the method get_my_cards from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_my_funds,get_my_funds,main.py/TableScreenBased,739.0,742.0,['The parameters [ h ] are added to the method get_my_funds from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_new_hand,get_new_hand,main.py/TableScreenBased,873.0,859.0,['The parameters [ h p ] are added to the method get_new_hand from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_other_player_status,get_other_player_status,main.py/TableScreenBased,614.0,619.0,['The parameters [ p ] are added to the method get_other_player_status from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_table_cards,get_table_cards,main.py/TableScreenBased,462.0,467.0,['The parameters [ h ] are added to the method get_table_cards from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_top_left_corner,get_top_left_corner,main.py/TableScreenBased,297.0,302.0,['The parameters [ p ] are added to the method get_top_left_corner from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_total_pot_value,get_total_pot_value,main.py/TableScreenBased,718.0,721.0,['The parameters [ h ] are added to the method get_total_pot_value from the module main.py in class TableScreenBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,update_most_gui_items,update_most_gui_items,main.py/ThreadManager,907.0,915.0,['The parameters [ t d h gui_signals ] are added to the method update_most_gui_items from the module main.py in class ThreadManager'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,__init__,__init__,mouse_mover.py/MouseMoverTableBased,78.0,78.0,['The parameters [ logger ] are added to the method __init__ from the module mouse_mover.py in class MouseMoverTableBased'],14a9d8716a51f01d230352fcb06c9fdda9a253b2,,,,,,,
Add Parameter,get_reverse_sheetname,get_reverse_sheetname,decisionmaker/current_hand_memory.py/CurrentHandPreflopState,62.0,63.0,['The parameters [ h ] are added to the method get_reverse_sheetname from the module decisionmaker/current_hand_memory.py in class CurrentHandPreflopState'],18700cf5bdbe6450f9dbbf483147dc981778f0c1,,,,,,,
Add Parameter,update_most_gui_items,update_most_gui_items,main.py/ThreadManager,37.0,36.0,['The parameters [ preflop_state ] are added to the method update_most_gui_items from the module main.py in class ThreadManager'],18700cf5bdbe6450f9dbbf483147dc981778f0c1,,,,,,,
Rename Method,test_ocr_pp3,test_ocr_pp4,poker/tests/test_table_and_ocr.py,88.0,91.0,['The method test_ocr_pp3 from the module poker/tests/test_table_and_ocr.py is renamed to test_ocr_pp4'],1c0c24f8a2fc3d23604f89d3f87ce2ff75aca1ab,,,,,,,
Add Parameter,__init__,__init__,poker/scraper/table.py/Table,22.0,22.0,['The parameters [ table_dict ] are added to the method __init__ from the module poker/scraper/table.py in class Table'],1d48ff05d757221d42614bf0b905e778b053b554,,,,,,,
Change/Rename Parameter,drawfigure,drawfigure,poker/gui/plots/bar_plotter_2.py/BarPlotter2,21.0,29.0,['The parameters [ lst ] of the method drawfigure from the module poker/gui/plots/bar_plotter_2.py in class BarPlotter2 are changed/renamed to [gamelogger]'],1f3c962cf3accc08e5bbc7dfd7b9f302008f76e0,,,,,,,
Remove Parameter,make_decision,make_decision,poker/decisionmaker/decisionmaker.py/Decision,531.0,531.0,['The parameters [ logger ] of the method make_decision from the module poker/decisionmaker/decisionmaker.py in class Decision is/are removed'],1ff358cd2bfb8fa7908785ae812409b2d8082080,,,,,,,
Remove Parameter,preflop_table_analyser,preflop_table_analyser,poker/decisionmaker/decisionmaker.py/Decision,256.0,256.0,['The parameters [ logger ] of the method preflop_table_analyser from the module poker/decisionmaker/decisionmaker.py in class Decision is/are removed'],1ff358cd2bfb8fa7908785ae812409b2d8082080,,,,,,,
Extract Method,mouse_action,take_action,poker/tools/mouse_mover.py/MouseMoverTableBased,,, The method take_action from the module poker/tools/mouse_mover.py in class MouseMoverTableBased is extracted from method mouse_action from the module poker/tools/mouse_mover.py in class MouseMoverTableBased ,1ff358cd2bfb8fa7908785ae812409b2d8082080,"(161,158)",229.0,"[173.0, 174.0, 176.0, 177.0, 179.0, 180.0]",,,,
Add Parameter,drawfigure,drawfigure,poker/gui/plots/bar_plotter_2.py/BarPlotter2,19.0,20.0,['The parameters [ last_action ] are added to the method drawfigure from the module poker/gui/plots/bar_plotter_2.py in class BarPlotter2'],2349c02dad56c497d536b382bf187272ee861ef0,,,,,,,
Rename Method,create_test_images,create_augmented_images,poker/scraper/table_scraper_nn.py/CardNeuralNetwork,56.0,56.0,['The method create_test_images from the module poker/scraper/table_scraper_nn.py in class CardNeuralNetwork is renamed to create_augmented_images'],2349c02dad56c497d536b382bf187272ee861ef0,,,,,,,
Add Parameter,get_stacked_bar_data,get_stacked_bar_data,poker/tools/game_logger.py/GameLogger,146.0,146.0,['The parameters [ last_action ] are added to the method get_stacked_bar_data from the module poker/tools/game_logger.py in class GameLogger'],2349c02dad56c497d536b382bf187272ee861ef0,,,,,,,
Add Parameter,get_available_tables,get_available_tables,poker/tools/mongo_manager.py/MongoManager,82.0,82.0,['The parameters [ computer_name ] are added to the method get_available_tables from the module poker/tools/mongo_manager.py in class MongoManager'],25bde6d951f9f0ed8ef891c093482c5bb97d1f99,,,,,,,
Rename Class,QtThreadManager,ThreadManager,main.py,,, class QtThreadManager was renamed to class ThreadManager ,2ca15f0f51d210c6ea80c479ad3726b33058983f,,,,,,,
Change/Rename Parameter,__init__,__init__,gui/gui_qt_logic.py/UIActionAndSignals,53.0,55.0,['The parameters [ ui ] of the method __init__ from the module gui/gui_qt_logic.py in class UIActionAndSignals are changed/renamed to [ui_main_window]'],326330df0cadc4adcecfa9b8c3a83f465f977fb4,,,,,,,
Rename Class,Logging,GameLogger,mongo_manager.py,,, class Logging was renamed to class GameLogger ,326330df0cadc4adcecfa9b8c3a83f465f977fb4,,,,,,,
