Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Extract Method,main,activate_profiler,bootstrap/run.py,,, The method activate_profiler from the module bootstrap/run.py is extracted from method main from the module bootstrap/run.py ,5d16acc0fb2cef9f320278745a96606e4f834833,"(106,158)",113.0,"[117.0, 118.0, 120.0, 123.0, 124.0, 125.0, 130.0, 131.0, 134.0]"
Extract Method,main,process_profiler,bootstrap/run.py,,, The method process_profiler from the module bootstrap/run.py is extracted from method main from the module bootstrap/run.py ,5d16acc0fb2cef9f320278745a96606e4f834833,"(106,158)",136.0,"[115.0, 130.0, 154.0, 155.0, 156.0, 157.0]"
Change/Rename Parameter,__new__,__new__,bootstrap/lib/options.py/Options,158.0,158.0,['The parameters [ path_yaml ] of the method __new__ from the module bootstrap/lib/options.py in class Options are changed/renamed to [source]'],5d5209a072c84408e0856e2a1b6c193a439920de,,,
Add Parameter,load,load,bootstrap/engines/engine.py/Engine,375.0,376.0,['The parameters [ map_location ] are added to the method load from the module bootstrap/engines/engine.py in class Engine'],5f66b870b391a262452d09ab0e528c7ea7b26538,,,
Add Parameter,resume,resume,bootstrap/engines/engine.py/Engine,83.0,83.0,['The parameters [ map_location ] are added to the method resume from the module bootstrap/engines/engine.py in class Engine'],5f66b870b391a262452d09ab0e528c7ea7b26538,,,
Change/Rename Parameter,__new__,__new__,bootstrap/lib/options.py/Options,105.0,113.0,['The parameters [ lock_options ] of the method __new__ from the module bootstrap/lib/options.py in class Options are changed/renamed to [lock]'],6021a6afbcf643420a106c7dc038e6724bf9d3d7,,,
Add Parameter,__new__,__new__,bootstrap/lib/options.py/Options,94.0,105.0,['The parameters [ lock_options ] are added to the method __new__ from the module bootstrap/lib/options.py in class Options'],701d4166f5253de6b8c86a9dba49b17959b2eadf,,,
Extract Method,factory,factory_optimizer,bootstrap/optimizers/factory.py,,, The method factory_optimizer from the module bootstrap/optimizers/factory.py is extracted from method factory from the module bootstrap/optimizers/factory.py ,77ef22fdd2d623508c42f61dca7726f2f3c8b9d3,"(7,56)",10.0,"[17.0, 18.0, 20.0, 22.0, 23.0, 30.0, 31.0, 38.0]"
Remove Parameter,run,run,bootstrap/run.py,56.0,56.0,['The parameters [ run_parser ] of the method run from the module bootstrap/run.py is/are removed'],9c4eb26270b90152699eec968d1997f7e1b980b3,,,
Add Parameter,run,run,bootstrap/run.py,56.0,56.0,['The parameters [ run_parser ] are added to the method run from the module bootstrap/run.py'],af898ca25b22e6f388e7fe493ce78e5f5e026d72,,,
Add Parameter,islocked,islocked,bootstrap/lib/options.py/OptionsDict,101.0,101.0,['The parameters [ self ] are added to the method islocked from the module bootstrap/lib/options.py in class OptionsDict'],d6cb7b846397f472570531c6292581f6e8ff5d99,,,
Remove Parameter,log_message,log_message,bootstrap/lib/logger.py/Logger,84.0,92.0,['The parameters [ message log_level break_line print_header stack_displacement ] of the method log_message from the module bootstrap/lib/logger.py in class Logger is/are removed'],e8629fc71794000126ba007ff2f7fcb273dfd96e,,,
Remove Parameter,load_yaml_opts,load_yaml_opts,bootstrap/lib/options.py/Options,77.0,118.0,['The parameters [ self ] of the method load_yaml_opts from the module bootstrap/lib/options.py in class Options is/are removed'],f6097a5d7acb7c9eee3540c721409806d083398c,,,
Add Parameter,save_yaml_opts,save_yaml_opts,bootstrap/lib/options.py/Options,88.0,129.0,['The parameters [ opts ] are added to the method save_yaml_opts from the module bootstrap/lib/options.py in class Options'],f6097a5d7acb7c9eee3540c721409806d083398c,,,
Add Parameter,__init__,__init__,bootstrap/models/model.py/Model,10.0,10.0,['The parameters [ detach_tf ] are added to the method __init__ from the module bootstrap/models/model.py in class Model'],f6097a5d7acb7c9eee3540c721409806d083398c,,,
Add Parameter,__init__,__init__,bootstrap/models/model.py/DefaultModel,105.0,109.0,['The parameters [ detach_tf ] are added to the method __init__ from the module bootstrap/models/model.py in class DefaultModel'],f6097a5d7acb7c9eee3540c721409806d083398c,,,
Add Parameter,factory,factory,bootstrap/optimizers/factory.py,10.0,10.0,['The parameters [ model ] are added to the method factory from the module bootstrap/optimizers/factory.py'],f6097a5d7acb7c9eee3540c721409806d083398c,,,
