Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Move Method,_find_latest_versions,_find_latest_versions,,,, method _find_latest_versions from the module src/orion/serving/experiments_resource.py in class ExperimentsResource was moved to module src/orion/serving/experiments_resource.py ,8caf31fba1663094e4efa0f6f91e871ed0fc9dd9,src/orion/serving/experiments_resource.py/ExperimentsResource,src/orion/serving/experiments_resource.py,44.0,88.0,,,
Rename Method,launch_process,execute_process,src/orion/core/worker/consumer.py/Consumer,130.0,124.0,['The method launch_process from the module src/orion/core/worker/consumer.py in class Consumer is renamed to execute_process'],8d3020755977ede01569c3854d9f2ebbe59eeffb,,,,,,,
Change/Rename Parameter,filter_status,filter_status,src/orion/core/io/experiment_branch_builder.py/ExperimentBranchBuilder,332.0,331.0,['The parameters [ c ] of the method filter_status from the module src/orion/core/io/experiment_branch_builder.py in class ExperimentBranchBuilder are changed/renamed to [conflict]'],8d9ab1da496f05f90f587fe75cb0a003c81f31a5,,,,,,,
Rename Method,test_produce,test_update_and_produce,tests/unittests/core/test_producer.py,23.0,56.0,['The method test_produce from the module tests/unittests/core/test_producer.py is renamed to test_update_and_produce'],8e015b71755a6e584c599da6a9ad7d9478ecdee5,,,,,,,
Extract Method,build,clean_config,src/orion/core/io/experiment_builder.py,,, The method clean_config from the module src/orion/core/io/experiment_builder.py is extracted from method build from the module src/orion/core/io/experiment_builder.py ,8e674fb75f2b52ba9e87c49b300588bd031d02c4,,,,,"(119,119)",207.0,"[172.0, 173.0, 174.0, 175.0, 177.0, 178.0, 180.0, 181.0, 183.0, 184.0, 185.0]"
Extract Method,build,consolidate_config,src/orion/core/io/experiment_builder.py,,, The method consolidate_config from the module src/orion/core/io/experiment_builder.py is extracted from method build from the module src/orion/core/io/experiment_builder.py ,8e674fb75f2b52ba9e87c49b300588bd031d02c4,,,,,"(119,119)",227.0,"[187.0, 189.0, 190.0, 192.0, 195.0, 206.0, 207.0]"
Move Method,test_root_endpoint_not_supported,test_root_endpoint_not_supported,,,, method test_root_endpoint_not_supported from the module tests/functional/serving/test_trials_resource.py in class TestTrialCollection was moved to module tests/functional/serving/test_trials_resource.py ,8ea1856150318fbe1442ddf1abfdd0f1da529c2f,tests/functional/serving/test_trials_resource.py/TestTrialCollection,tests/functional/serving/test_trials_resource.py,82.0,79.0,,,
Rename Method,test_inconsistent_3_set_before_init_no_hit,test_not_inconsistent_3_set_before_init_no_hit,tests/unittests/core/test_experiment.py/TestConfigProperty,327.0,327.0,['The method test_inconsistent_3_set_before_init_no_hit from the module tests/unittests/core/test_experiment.py in class TestConfigProperty is renamed to test_not_inconsistent_3_set_before_init_no_hit'],8efae793f8d7766331fb111a1df37342cb639058,,,,,,,
Remove Parameter,_has_named_children,_has_named_children,src/orion/core/cli/status.py,90.0,90.0,['The parameters [ experiments ] of the method _has_named_children from the module src/orion/core/cli/status.py is/are removed'],8f352e42e58c64dfc10c5a931c3a80f37cc3c79a,,,,,,,
Move Method,new_config,new_config,,,, method new_config from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,11.0,164.0,,,
Move Method,old_config,old_config,,,, method old_config from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,24.0,177.0,,,
Move Method,new_dimension_conflict,new_dimension_conflict,,,, method new_dimension_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,40.0,193.0,,,
Move Method,new_dimension_with_default_conflict,new_dimension_with_default_conflict,,,, method new_dimension_with_default_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,49.0,202.0,,,
Move Method,new_dimension_same_prior_conflict,new_dimension_same_prior_conflict,,,, method new_dimension_same_prior_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,58.0,211.0,,,
Move Method,changed_dimension_conflict,changed_dimension_conflict,,,, method changed_dimension_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,67.0,220.0,,,
Move Method,missing_dimension_conflict,missing_dimension_conflict,,,, method missing_dimension_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,78.0,231.0,,,
Move Method,missing_dimension_with_default_conflict,missing_dimension_with_default_conflict,,,, method missing_dimension_with_default_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,87.0,240.0,,,
Move Method,algorithm_conflict,algorithm_conflict,,,, method algorithm_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,96.0,249.0,,,
Move Method,code_conflict,code_conflict,,,, method code_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,102.0,255.0,,,
Move Method,cli_conflict,cli_conflict,,,, method cli_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,108.0,261.0,,,
Move Method,config_conflict,config_conflict,,,, method config_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,116.0,269.0,,,
Move Method,experiment_name_conflict,experiment_name_conflict,,,, method experiment_name_conflict from the module tests/unittests/core/evc/conftest.py was moved to module tests/unittests/core/conftest.py ,8f9b3503157e73b6a4bd57d9839407bc87fa1447,tests/unittests/core/evc/conftest.py,tests/unittests/core/conftest.py,122.0,275.0,,,
Add Parameter,should_suspend,should_suspend,src/orion/algo/base.py/BaseAlgorithm,375.0,359.0,['The parameters [ trial ] are added to the method should_suspend from the module src/orion/algo/base.py in class BaseAlgorithm'],8fdd52fddc3e8457000e726bc45ba9b9af9e59b2,,,,,,,
