Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,datasets/videodataset.py/VideoDataset,142.0,14.0,['The parameters [ image_name_formatter ] are added to the method __init__ from the module datasets/videodataset.py in class VideoDataset'],5ee6b2a03f43b55cd5834f103c5b221d8acf4b3e,,,
Rename Method,loading,__loading,datasets/videodataset.py/VideoDataset,160.0,80.0,['The method loading from the module datasets/videodataset.py in class VideoDataset is renamed to __loading'],5ee6b2a03f43b55cd5834f103c5b221d8acf4b3e,,,
Add Parameter,resume,resume,main.py,54.0,54.0,['The parameters [ optimizer scheduler ] are added to the method resume from the module main.py'],617772074c594424d8a907ed00651777ff99cec0,,,
Add Parameter,train_epoch,train_epoch,train.py,9.0,9.0,['The parameters [ scheduler ] are added to the method train_epoch from the module train.py'],617772074c594424d8a907ed00651777ff99cec0,,,
Change/Rename Parameter,__init__,__init__,models/resnet.py/ResNet,99.0,99.0,['The parameters [ inplanes ] of the method __init__ from the module models/resnet.py in class ResNet are changed/renamed to [block_inplanes]'],68c38a70644c78309fe96ef120c7228dc054679f,,,
Change/Rename Parameter,__init__,__init__,models/resnext.py/ResNeXt,36.0,40.0,['The parameters [ inplanes ] of the method __init__ from the module models/resnext.py in class ResNeXt are changed/renamed to [block_inplanes]'],68c38a70644c78309fe96ef120c7228dc054679f,,,
Remove Parameter,train_epoch,train_epoch,train.py,9.0,9.0,['The parameters [ opt ] of the method train_epoch from the module train.py is/are removed'],6952763c6a316760287429ff0bde3103bf6de5f7,,,
Change/Rename Parameter,val_epoch,val_epoch,validation.py,8.0,8.0,['The parameters [ opt ] of the method val_epoch from the module validation.py are changed/renamed to [device]'],6952763c6a316760287429ff0bde3103bf6de5f7,,,
Change/Rename Parameter,calculate_video_results,calculate_video_results,test.py,11.0,35.0,['The parameters [ output_buffer ] of the method calculate_video_results from the module test.py are changed/renamed to [outputs]'],72464c68b55eb4775efedc731b932c1c00e041a8,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,111.0,111.0,['The parameters [ conv1_t_size ] are added to the method __init__ from the module models/resnet.py in class ResNet'],74fd371bd5d66e0dce1675bbe049e413cc3bc9d3,,,
Add Parameter,train_epoch,train_epoch,train.py,9.0,9.0,['The parameters [ current_lr ] are added to the method train_epoch from the module train.py'],788d58d3d368066726831f1c4db34ab9b35413e0,,,
Remove Parameter,__init__,__init__,models/densenet.py/DenseNet,84.0,84.0,['The parameters [ sample_size ] of the method __init__ from the module models/densenet.py in class DenseNet is/are removed'],7bcb3f7d25de5c217068e50becafa80ac69066d9,,,
Remove Parameter,__init__,__init__,models/resnet.py/ResNet,99.0,99.0,['The parameters [ sample_size ] of the method __init__ from the module models/resnet.py in class ResNet is/are removed'],7bcb3f7d25de5c217068e50becafa80ac69066d9,,,
