Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Remove Parameter,GUI,GUI,gekko/gekko.py/GEKKO,,,,['The parameters [ namespace ] of the method GUI from the module gekko/gekko.py in class GEKKO is/are removed'],d07d4324c4dab5bd90e2c1242aaf84ff400e7647,866.0,866.0,,,,
Remove Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ namespace ] of the method __init__ from the module gekko/gk_gui.py in class GK_GUI is/are removed'],d07d4324c4dab5bd90e2c1242aaf84ff400e7647,16.0,21.0,,,,
Remove Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ theme ] of the method __init__ from the module gekko/gk_gui.py in class GK_GUI is/are removed'],d5e66648c63a87d57b48e5dc877f918135b48a3c,43.0,44.0,,,,
Remove Parameter,Param,Param,gekko/gekko.py/GEKKO,,,,['The parameters [ integer ] of the method Param from the module gekko/gekko.py in class GEKKO is/are removed'],d7ac2a2785f66c2a4c456f3c652b9b10b7b4172b,107.0,106.0,,,,
Rename Method,generate_overrides_dbs_file,generate_dbs_file,gekko/gk_write_files.py,,,,['The method generate_overrides_dbs_file from the module gekko/gk_write_files.py is renamed to generate_dbs_file'],dd2b783335492c05a14c69714a543136ef7a4b0a,244.0,249.0,,,,
Remove Parameter,bspline,bspline,gekko/gekko.py/GEKKO,,,,['The parameters [ kx ky sf ] of the method bspline from the module gekko/gekko.py in class GEKKO is/are removed'],e6ca8aad22dc99a0e84922912d78c3e74b4bbd2c,624.0,630.0,,,,
Move Method,get_script_data,get_script_data,,,,, method get_script_data from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,77.0,68.0
Move Method,handle_api_call,handle_api_call,,,,, method handle_api_call from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,149.0,140.0
Move Method,set_endpoints,set_endpoints,,,,, method set_endpoints from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,167.0,158.0
Move Method,get_data,get_data,,,,, method get_data from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,170.0,161.0
Move Method,get_data2,get_data2,,,,, method get_data2 from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,174.0,165.0
Move Method,get_options,get_options,,,,, method get_options from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,178.0,169.0
Move Method,get_model,get_model,,,,, method get_model from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,182.0,173.0
Move Method,get_info,get_info,,,,, method get_info from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,186.0,177.0
Move Method,static_file,static_file,,,,, method static_file from the module gekko/gk_gui.py in class GK_GUI was moved to class FlaskThread of module gekko/gk_gui.py ,f3858a69ee626dad50fd200a1ba87996560a845c,,,gekko/gk_gui.py/GK_GUI,gekko/gk_gui.py/FlaskThread,194.0,187.0
Add Parameter,bspline,bspline,gekko/gekko.py/GEKKO,,,,['The parameters [ kx ky sf ] are added to the method bspline from the module gekko/gekko.py in class GEKKO'],f58df1c3e8ddd120b1f8799ef2d941c4eb19f450,624.0,624.0,,,,
Remove Parameter,__init__,__init__,gekko/gk_gui.py/GK_GUI,,,,['The parameters [ theme ] of the method __init__ from the module gekko/gk_gui.py in class GK_GUI is/are removed'],f75417b6d37983272a983860700e2a6ebe6c6510,25.0,23.0,,,,
