Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,_encode,_encode,vislogger/util.py/ModuleMultiTypeEncoder,64.0,65.0,['The parameters [ strict ] are added to the method _encode from the module vislogger/util.py in class ModuleMultiTypeEncoder'],01b0ef22587d96a836704dcbf659616705225570,,,,,,,
Add Parameter,plot_model_structure,plot_model_structure,trixi/logger/visdom/pytorchvisdomlogger.py/PytorchVisdomLogger,157.0,157.0,['The parameters [ forward_kwargs ] are added to the method plot_model_structure from the module trixi/logger/visdom/pytorchvisdomlogger.py in class PytorchVisdomLogger'],01c6309674cff254e69de8719d253c812986d580,,,,,,,
Change/Rename Parameter,__show_value,__show_value,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,202.0,202.0,['The parameters [ count ] of the method __show_value from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger are changed/renamed to [counter]'],02144340bbe8bd359fb9c3fa9592b5214848f1fc,,,,,,,
Change/Rename Parameter,show_value,show_value,vislogger/numpyvisdomlogger.py/NumpyVisdomLogger,177.0,177.0,['The parameters [ count ] of the method show_value from the module vislogger/numpyvisdomlogger.py in class NumpyVisdomLogger are changed/renamed to [counter]'],02144340bbe8bd359fb9c3fa9592b5214848f1fc,,,,,,,
Add Parameter,update,update,trixi/util/config.py/Config,31.0,31.0,['The parameters [ allow_dict_overwrite ] are added to the method update from the module trixi/util/config.py in class Config'],03366999bab8f9beff0c27b2c36e14a7ecafbda9,,,,,,,
Add Parameter,show_barplot,show_barplot,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,202.0,245.0,['The parameters [ delete_last ] are added to the method show_barplot from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_image_grid,show_image_grid,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,148.0,180.0,['The parameters [ delete_last ] are added to the method show_image_grid from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_lineplot,show_lineplot,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,225.0,273.0,['The parameters [ delete_last ] are added to the method show_lineplot from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_piechart,show_piechart,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,275.0,333.0,['The parameters [ delete_last ] are added to the method show_piechart from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_scatterplot,show_scatterplot,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,250.0,303.0,['The parameters [ delete_last ] are added to the method show_scatterplot from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_value,show_value,trixi/logger/message/slackmessagelogger.py/SlackMessageLogger,178.0,216.0,['The parameters [ delete_last ] are added to the method show_value from the module trixi/logger/message/slackmessagelogger.py in class SlackMessageLogger'],0aecd469a5238a3d62d850cf9465394998ec62f5,,,,,,,
Add Parameter,show_value,show_value,vislogger/experimentlogger.py/ExperimentLogger,85.0,92.0,['The parameters [ count tag ] are added to the method show_value from the module vislogger/experimentlogger.py in class ExperimentLogger'],0b64728458da0cbd66b017653097369297e45d19,,,,,,,
Add Parameter,show_value,show_value,vislogger/numpyplotfilelogger.py/NumpyPlotFileLogger,25.0,26.0,['The parameters [ count tag ] are added to the method show_value from the module vislogger/numpyplotfilelogger.py in class NumpyPlotFileLogger'],0b64728458da0cbd66b017653097369297e45d19,,,,,,,
Change/Rename Parameter,show_value,show_value,vislogger/numpyseabornplotlogger.py/NumpySeabornPlotLogger,36.0,36.0,['The parameters [ counter ] of the method show_value from the module vislogger/numpyseabornplotlogger.py in class NumpySeabornPlotLogger are changed/renamed to [count]'],0b64728458da0cbd66b017653097369297e45d19,,,,,,,
Remove Parameter,log_to,log_to,trixi/logger/file/textlogger.py/TextLogger,95.0,172.0,['The parameters [ log_level ] of the method log_to from the module trixi/logger/file/textlogger.py in class TextLogger is/are removed'],0bf5da0814873a68e03452b04363f6f612594a96,,,,,,,
