Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,test_simple,off_test_simple,lib/tests/streamlit/caching_test.py/CachingObjectTest,90,92,['The method test_simple from the module lib/tests/streamlit/caching_test.py in class CachingObjectTest is renamed to off_test_simple'],513f6337acc9722c55c4247faba0491806da8bfe,,,,,,,
Add Parameter,__init__,__init__,lib/streamlit/MediaFileManager.py/MediaFile,48,66,['The parameters [ session_count ] are added to the method __init__ from the module lib/streamlit/MediaFileManager.py in class MediaFile'],52633b5875b6a5d51a3aca3bf47a3ba00286b95f,,,,,,,
Rename Method,delete,_remove,lib/streamlit/MediaFileManager.py/MediaFileManager,70,100,['The method delete from the module lib/streamlit/MediaFileManager.py in class MediaFileManager is renamed to _remove'],52633b5875b6a5d51a3aca3bf47a3ba00286b95f,,,,,,,
Add Parameter,test_add_file,test_add_file,lib/tests/streamlit/MediaFileManager_test.py/UploadedFileManagerTest,92,93,['The parameters [ _get_session_id ] are added to the method test_add_file from the module lib/tests/streamlit/MediaFileManager_test.py in class UploadedFileManagerTest'],52633b5875b6a5d51a3aca3bf47a3ba00286b95f,,,,,,,
Add Parameter,test_add_file_already_exists,test_add_file_already_exists,lib/tests/streamlit/MediaFileManager_test.py/UploadedFileManagerTest,103,107,['The parameters [ _get_session_id ] are added to the method test_add_file_already_exists from the module lib/tests/streamlit/MediaFileManager_test.py in class UploadedFileManagerTest'],52633b5875b6a5d51a3aca3bf47a3ba00286b95f,,,,,,,
Add Parameter,test_add_file_different_mimetypes,test_add_file_different_mimetypes,lib/tests/streamlit/MediaFileManager_test.py/UploadedFileManagerTest,115,121,['The parameters [ _get_session_id ] are added to the method test_add_file_different_mimetypes from the module lib/tests/streamlit/MediaFileManager_test.py in class UploadedFileManagerTest'],52633b5875b6a5d51a3aca3bf47a3ba00286b95f,,,,,,,
Add Parameter,graphviz_chart,graphviz_chart,lib/streamlit/DeltaGenerator.py/DeltaGenerator,1122,1122,['The parameters [ use_container_width ] are added to the method graphviz_chart from the module lib/streamlit/DeltaGenerator.py in class DeltaGenerator'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Add Parameter,map,map,lib/streamlit/DeltaGenerator.py/DeltaGenerator,2550,2554,['The parameters [ use_container_width ] are added to the method map from the module lib/streamlit/DeltaGenerator.py in class DeltaGenerator'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Add Parameter,pydeck_chart,pydeck_chart,lib/streamlit/DeltaGenerator.py/DeltaGenerator,2711,2719,['The parameters [ use_container_width ] are added to the method pydeck_chart from the module lib/streamlit/DeltaGenerator.py in class DeltaGenerator'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Add Parameter,marshall,marshall,lib/streamlit/elements/deck_gl.py,30,30,['The parameters [ use_container_width ] are added to the method marshall from the module lib/streamlit/elements/deck_gl.py'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Add Parameter,marshall,marshall,lib/streamlit/elements/deck_gl_json_chart.py,23,23,['The parameters [ use_container_width ] are added to the method marshall from the module lib/streamlit/elements/deck_gl_json_chart.py'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Add Parameter,marshall,marshall,lib/streamlit/elements/graphviz_chart.py,24,24,['The parameters [ use_container_width ] are added to the method marshall from the module lib/streamlit/elements/graphviz_chart.py'],528007274cf120ede95819b42d929a80e4c2bacb,,,,,,,
Rename Method,__attrs_post_init__,__post_init__,lib/streamlit/elements/time_widgets.py/_DateInputValues,145,145,['The method __attrs_post_init__ from the module lib/streamlit/elements/time_widgets.py in class _DateInputValues is renamed to __post_init__'],53303b7cb2dee2fa8313ba1bc4ac89a7b5359492,,,,,,,
Rename Method,_get_eventloop,_get_async_objs,lib/streamlit/runtime/runtime.py/Runtime,611,635,['The method _get_eventloop from the module lib/streamlit/runtime/runtime.py in class Runtime is renamed to _get_async_objs'],535f11765817657892506d6904bbbe04908dbdf3,,,,,,,
Rename Method,beta_color_picker,color_picker,lib/streamlit/elements/color_picker.py/ColorPickerMixin,9,9,['The method beta_color_picker from the module lib/streamlit/elements/color_picker.py in class ColorPickerMixin is renamed to color_picker'],565bd723d749f98670d8dfe864325c5ccdf6d4b7,,,,,,,
Add Parameter,run_commands,run_commands,admin/test_streamlit.py,34,34,['The parameters [ comment ] are added to the method run_commands from the module admin/test_streamlit.py'],574de29f4ad2f10fa6bea70d28de4326b881b017,,,,,,,
Remove Parameter,_register_observer,_register_observer,lib/streamlit/LocalSourcesObserver.py/LocalSourcesObserver,63,62,['The parameters [ name ] of the method _register_observer from the module lib/streamlit/LocalSourcesObserver.py in class LocalSourcesObserver is/are removed'],5757d8e2e0251cc9cf36f3503fff57e179deeb75,,,,,,,
Rename Method,test_add_rows_copies_styles,test_add_styled_rows,lib/tests/streamlit/dataframe_styling_test.py/DataFrameStylingTest,69,69,['The method test_add_rows_copies_styles from the module lib/tests/streamlit/dataframe_styling_test.py in class DataFrameStylingTest is renamed to test_add_styled_rows'],57951ed30be41c82303e570ff94b57eedb50728f,,,,,,,
