Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,_k_modes_single,_k_modes_single,kmodes/kmodes.py,250.0,259.0,['The parameters [ sample_weight ] are added to the method _k_modes_single from the module kmodes/kmodes.py'],1174c3353f669766a0f2a5966a116c472f0f7bf4,,,,,,,
Add Parameter,k_modes,k_modes,kmodes/kmodes.py,201.0,209.0,['The parameters [ sample_weight ] are added to the method k_modes from the module kmodes/kmodes.py'],1174c3353f669766a0f2a5966a116c472f0f7bf4,,,,,,,
Add Parameter,labels_cost,labels_cost,kmodes/kmodes.py,182.0,189.0,['The parameters [ sample_weight ] are added to the method labels_cost from the module kmodes/kmodes.py'],1174c3353f669766a0f2a5966a116c472f0f7bf4,,,,,,,
Move Method,_validate_sample_weight,_validate_sample_weight,,,, method _validate_sample_weight from the module kmodes/kprototypes.py was moved to module kmodes/kmodes.py ,1174c3353f669766a0f2a5966a116c472f0f7bf4,kmodes/kprototypes.py,kmodes/kmodes.py,533.0,410.0,,,
Add Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,75.0,76.0,['The parameters [ cl_memb_sum ] are added to the method _k_prototypes_iter from the module kmodes/kprototypes.py'],1a6a7be8e84ebaa4adf3e3e0de7ff5ddfbcb0453,,,,,,,
Remove Parameter,move_point_num,move_point_num,kmodes/kprototypes.py,28.0,28.0,['The parameters [ membship ] of the method move_point_num from the module kmodes/kprototypes.py is/are removed'],1a6a7be8e84ebaa4adf3e3e0de7ff5ddfbcb0453,,,,,,,
Add Parameter,__init__,__init__,kmodes/kmodes.py/KModes,307.0,311.0,['The parameters [ cat_dissim ] are added to the method __init__ from the module kmodes/kmodes.py in class KModes'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,_k_modes_iter,_k_modes_iter,kmodes/kmodes.py,132.0,132.0,['The parameters [ dissim ] are added to the method _k_modes_iter from the module kmodes/kmodes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,_labels_cost,_labels_cost,kmodes/kmodes.py,113.0,113.0,['The parameters [ dissim ] are added to the method _labels_cost from the module kmodes/kmodes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,init_cao,init_cao,kmodes/kmodes.py,50.0,50.0,['The parameters [ dissim ] are added to the method init_cao from the module kmodes/kmodes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,init_huang,init_huang,kmodes/kmodes.py,21.0,21.0,['The parameters [ dissim ] are added to the method init_huang from the module kmodes/kmodes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,k_modes,k_modes,kmodes/kmodes.py,163.0,163.0,['The parameters [ dissim ] are added to the method k_modes from the module kmodes/kmodes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,__init__,__init__,kmodes/kprototypes.py/KPrototypes,327.0,336.0,['The parameters [ num_dissim cat_dissim ] are added to the method __init__ from the module kmodes/kprototypes.py in class KPrototypes'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,68.0,68.0,['The parameters [ num_dissim cat_dissim ] are added to the method _k_prototypes_iter from the module kmodes/kprototypes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,_labels_cost,_labels_cost,kmodes/kprototypes.py,45.0,45.0,['The parameters [ num_dissim cat_dissim ] are added to the method _labels_cost from the module kmodes/kprototypes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,k_prototypes,k_prototypes,kmodes/kprototypes.py,122.0,122.0,['The parameters [ num_dissim cat_dissim ] are added to the method k_prototypes from the module kmodes/kprototypes.py'],1d9ecd11e946c992ac7df3fac58238181892b37d,,,,,,,
Add Parameter,fit,fit,kmodes/kmodes.py/KModes,298.0,309.0,['The parameters [ y ] are added to the method fit from the module kmodes/kmodes.py in class KModes'],1f9c1b0d7ba305b379b41aad4a4c64a2e3696f5a,,,,,,,
Add Parameter,fit_predict,fit_predict,kmodes/kmodes.py/KModes,311.0,322.0,['The parameters [ y ] are added to the method fit_predict from the module kmodes/kmodes.py in class KModes'],1f9c1b0d7ba305b379b41aad4a4c64a2e3696f5a,,,,,,,
Add Parameter,fit,fit,kmodes/kprototypes.py/KPrototypes,308.0,323.0,['The parameters [ y ] are added to the method fit from the module kmodes/kprototypes.py in class KPrototypes'],1f9c1b0d7ba305b379b41aad4a4c64a2e3696f5a,,,,,,,
Remove Parameter,predict,predict,kmodes/kprototypes.py/KPrototypes,177.0,177.0,['The parameters [ sample_weights ] of the method predict from the module kmodes/kprototypes.py in class KPrototypes is/are removed'],20e8dd6657adb445a8486da17f647eff9ef8903a,,,,,,,
Add Parameter,_labels_cost,_labels_cost,kmodes/kmodes.py,119.0,119.0,['The parameters [ Xinit ] are added to the method _labels_cost from the module kmodes/kmodes.py'],258e2cc4dd5214c13dd6b1f4d3655f14252ab59e,,,,,,,
Add Parameter,_labels_cost,_labels_cost,kmodes/kprototypes.py,53.0,53.0,['The parameters [ XcatInit ] are added to the method _labels_cost from the module kmodes/kprototypes.py'],258e2cc4dd5214c13dd6b1f4d3655f14252ab59e,,,,,,,
Remove Parameter,fit_predict,fit_predict,kmodes/kmodes.py/KModes,311.0,311.0,['The parameters [ y ] of the method fit_predict from the module kmodes/kmodes.py in class KModes is/are removed'],2c0dd1a02309507c6fa547c62f97979c5559d4f6,,,,,,,
Remove Parameter,fit,fit,kmodes/kprototypes.py/KPrototypes,298.0,308.0,['The parameters [ categorical ] of the method fit from the module kmodes/kprototypes.py in class KPrototypes is/are removed'],2c0dd1a02309507c6fa547c62f97979c5559d4f6,,,,,,,
Remove Parameter,predict,predict,kmodes/kprototypes.py/KPrototypes,322.0,326.0,['The parameters [ categorical ] of the method predict from the module kmodes/kprototypes.py in class KPrototypes is/are removed'],2c0dd1a02309507c6fa547c62f97979c5559d4f6,,,,,,,
Extract Method,k_prototypes,_split_num_cat,kmodes/kprototypes.py,,, The method _split_num_cat from the module kmodes/kprototypes.py is extracted from method k_prototypes from the module kmodes/kprototypes.py ,2c0dd1a02309507c6fa547c62f97979c5559d4f6,,,,,"(105,120)",29.0,"[125.0, 127.0]"
Add Parameter,fit,fit,kmodes/kprototypes.py/KPrototypes,323.0,323.0,['The parameters [ categorical ] are added to the method fit from the module kmodes/kprototypes.py in class KPrototypes'],305e48f66731c6b17e8680b987df386adb076dd2,,,,,,,
Add Parameter,predict,predict,kmodes/kprototypes.py/KPrototypes,341.0,339.0,['The parameters [ categorical ] are added to the method predict from the module kmodes/kprototypes.py in class KPrototypes'],305e48f66731c6b17e8680b987df386adb076dd2,,,,,,,
Rename Method,genMembshipArray,gen_membship_array,kmodes/util/__init__.py,72.0,73.0,['The method genMembshipArray from the module kmodes/util/__init__.py is renamed to gen_membship_array'],34d84c68f0ca434157f70aec3c060312fd042624,,,,,,,
Remove Parameter,_labels_cost,_labels_cost,kmodes/kmodes.py,116.0,113.0,['The parameters [ Xinit ] of the method _labels_cost from the module kmodes/kmodes.py is/are removed'],393ec22518860e6f1a81729f5068b0114f9a3554,,,,,,,
Remove Parameter,_labels_cost,_labels_cost,kmodes/kprototypes.py,50.0,49.0,['The parameters [ XcatInit ] of the method _labels_cost from the module kmodes/kprototypes.py is/are removed'],393ec22518860e6f1a81729f5068b0114f9a3554,,,,,,,
Add Parameter,_move_point_cat,_move_point_cat,kmodes/kmodes.py,363.0,363.0,['The parameters [ sample_weight ] are added to the method _move_point_cat from the module kmodes/kmodes.py'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
Add Parameter,__init__,__init__,kmodes/kprototypes.py/KPrototypes,117.0,117.0,['The parameters [ sample_weights ] are added to the method __init__ from the module kmodes/kprototypes.py in class KPrototypes'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
Add Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,438.0,444.0,['The parameters [ sample_weights ] are added to the method _k_prototypes_iter from the module kmodes/kprototypes.py'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
Add Parameter,_k_prototypes_single,_k_prototypes_single,kmodes/kprototypes.py,308.0,313.0,['The parameters [ sample_weights ] are added to the method _k_prototypes_single from the module kmodes/kprototypes.py'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
Add Parameter,k_prototypes,k_prototypes,kmodes/kprototypes.py,233.0,238.0,['The parameters [ sample_weights ] are added to the method k_prototypes from the module kmodes/kprototypes.py'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
Add Parameter,labels_cost,labels_cost,kmodes/kprototypes.py,210.0,212.0,['The parameters [ sample_weights ] are added to the method labels_cost from the module kmodes/kprototypes.py'],4a0e5be19e138f33a0c4d5d9683f91ff2418434f,,,,,,,
