Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,__init__,__init__,pycorrector/bert/bert_detector.py/BertDetector,46.0,40.0,['The parameters [ max_seq_length predict_batch_size max_predictions_per_seq ] of the method __init__ from the module pycorrector/bert/bert_detector.py in class BertDetector is/are removed'],2633c4ef76e39f5dc5ef1259ec95286861a647cc,,,,,,,
Move Method,split_2_short_text,split_2_short_text,,,, method split_2_short_text from the module pycorrector/detector.py in class Detector was moved to module pycorrector/utils/tokenizer.py ,264efdbe0bebf98fb5ada1ce9b2df47f12d4d1cc,pycorrector/detector.py/Detector,pycorrector/utils/tokenizer.py,337.0,26.0,,,
Move Method,split_text_by_maxlen,split_text_by_maxlen,,,, method split_text_by_maxlen from the module pycorrector/detector.py in class Detector was moved to module pycorrector/utils/tokenizer.py ,264efdbe0bebf98fb5ada1ce9b2df47f12d4d1cc,pycorrector/detector.py/Detector,pycorrector/utils/tokenizer.py,359.0,48.0,,,
Move Method,edits1,edits1,,,, method edits1 from the module pycorrector/en_spell.py was moved to class EnSpell of module pycorrector/en_spell.py ,264efdbe0bebf98fb5ada1ce9b2df47f12d4d1cc,pycorrector/en_spell.py,pycorrector/en_spell.py/EnSpell,17.0,41.0,,,
Remove Parameter,__init__,__init__,pycorrector/detector.py/Detector,26.0,27.0,['The parameters [ enable_rnnlm rnnlm_vocab_path rnnlm_model_dir ] of the method __init__ from the module pycorrector/detector.py in class Detector is/are removed'],289c479060004bd9fd638dab7027f407ba75e798,,,,,,,
Move Method,load_char_set,load_char_set,,,, method load_char_set from the module pycorrector/corrector.py was moved to class Corrector of module pycorrector/corrector.py ,289c479060004bd9fd638dab7027f407ba75e798,pycorrector/corrector.py,pycorrector/corrector.py/Corrector,18.0,42.0,,,
Move Method,load_same_pinyin,load_same_pinyin,,,, method load_same_pinyin from the module pycorrector/corrector.py was moved to class Corrector of module pycorrector/corrector.py ,289c479060004bd9fd638dab7027f407ba75e798,pycorrector/corrector.py,pycorrector/corrector.py/Corrector,26.0,50.0,,,
Move Method,load_same_stroke,load_same_stroke,,,, method load_same_stroke from the module pycorrector/corrector.py was moved to class Corrector of module pycorrector/corrector.py ,289c479060004bd9fd638dab7027f407ba75e798,pycorrector/corrector.py,pycorrector/corrector.py/Corrector,54.0,78.0,,,
Move Method,evaluate,evaluate,,,, method evaluate from the module pycorrector/seq2seq/infer.py was moved to module pycorrector/seq2seq/seq2seq_model.py ,29a96104714b97fa447529ca837d42c4a1f71e9e,pycorrector/seq2seq/infer.py,pycorrector/seq2seq/seq2seq_model.py,17.0,68.0,,,
Move Method,decode_seq,decode_seq,,,, method decode_seq from the module pycorrector/seq2seq/infer.py was moved to module pycorrector/seq2seq/seq2seq_model.py ,29a96104714b97fa447529ca837d42c4a1f71e9e,pycorrector/seq2seq/infer.py,pycorrector/seq2seq/seq2seq_model.py,40.0,91.0,,,
Add Parameter,gen_target,gen_target,pycorrector/seq2seq_attention/evaluate.py,14.0,14.0,['The parameters [ max_target_len ] are added to the method gen_target from the module pycorrector/seq2seq_attention/evaluate.py'],2c4b61b6603c0f002a61e842d80d7f3bb21427d5,,,,,,,
Add Parameter,__init__,__init__,pycorrector/seq2seq_attention/infer.py/Inference,18.0,18.0,['The parameters [ gpu_id ] are added to the method __init__ from the module pycorrector/seq2seq_attention/infer.py in class Inference'],2cecd4b5cd993c94007cfe7f4ed03da1615f7952,,,,,,,
Change/Rename Parameter,__init__,__init__,pycorrector/seq2seq_attention/seq2seq_attn_model.py/Seq2seqAttnModel,69.0,69.0,['The parameters [ chars ] of the method __init__ from the module pycorrector/seq2seq_attention/seq2seq_attn_model.py in class Seq2seqAttnModel are changed/renamed to [vocab_size]'],2cecd4b5cd993c94007cfe7f4ed03da1615f7952,,,,,,,
Add Parameter,_correct_item,_correct_item,pycorrector/corrector.py/Corrector,185.0,185.0,['The parameters [ err_type ] are added to the method _correct_item from the module pycorrector/corrector.py in class Corrector'],2e9caea45baabeda955b1668a8019843cab841a8,,,,,,,
Add Parameter,infer,infer,pycorrector/conv_seq2seq/infer.py,17.0,17.0,['The parameters [ temperature ] are added to the method infer from the module pycorrector/conv_seq2seq/infer.py'],3139207558156b60c24d2360858ce788fc4008dc,,,,,,,
Rename Method,get_gcmi_cor_test,get_bcmi_cor_test,tests/eval_test.py,17.0,17.0,['The method get_gcmi_cor_test from the module tests/eval_test.py is renamed to get_bcmi_cor_test'],34a5316a41eeea886f3bb2e5a2ce0e0c882f522d,,,,,,,
Add Parameter,batch_t5_correct,batch_t5_correct,pycorrector/t5/copyt5_corrector.py/CopyT5Corrector,110.0,110.0,['The parameters [ batch_size ] are added to the method batch_t5_correct from the module pycorrector/t5/copyt5_corrector.py in class CopyT5Corrector'],34c8bbd92cbe40dd6da5a3783fbbb2bd9c47b002,,,,,,,
Add Parameter,get_errors,get_errors,pycorrector/macbert/infer.py/Inference,88.0,79.0,['The parameters [ blanks_cleaned ] are added to the method get_errors from the module pycorrector/macbert/infer.py in class Inference'],3ca9c40803c840dd61edca013dbffa286d4ef034,,,,,,,
Rename Method,edit_distance_word,_edit_distance_word,pycorrector/corrector.py,158.0,115.0,['The method edit_distance_word from the module pycorrector/corrector.py is renamed to _edit_distance_word'],3db6607105f67af99c895034c88a06e62c02dd2c,,,,,,,
Move Method,get_homophones_by_char,get_homophones_by_char,,,, method get_homophones_by_char from the module pycorrector/corrector.py was moved to module pycorrector/util.py ,3db6607105f67af99c895034c88a06e62c02dd2c,pycorrector/corrector.py,pycorrector/util.py,111.0,85.0,,,
Move Method,get_homophones_by_pinyin,get_homophones_by_pinyin,,,, method get_homophones_by_pinyin from the module pycorrector/corrector.py was moved to module pycorrector/util.py ,3db6607105f67af99c895034c88a06e62c02dd2c,pycorrector/corrector.py,pycorrector/util.py,125.0,99.0,,,
Add Parameter,predict,predict,pycorrector/t5/infer.py,21.0,21.0,['The parameters [ example_sentences ] are added to the method predict from the module pycorrector/t5/infer.py'],3e2e53a7026c6bfb5b974f2f78d8580f17b8edcb,,,,,,,
Add Parameter,get_lm_correct_item,get_lm_correct_item,pycorrector/corrector.py/Corrector,226.0,218.0,['The parameters [ cut_type ] are added to the method get_lm_correct_item from the module pycorrector/corrector.py in class Corrector'],3e5759c2c7fbffcb6ee4f2c6af7b86b0dfcb8758,,,,,,,
Rename Method,correction,en_correct,pycorrector/en_spell.py,29.0,29.0,['The method correction from the module pycorrector/en_spell.py is renamed to en_correct'],4235bb067cbfc9b8b8567f1343d9353dfac0a287,,,,,,,
Add Parameter,__init__,__init__,pycorrector/corrector.py/Corrector,79.0,79.0,['The parameters [ custom_word_path ] are added to the method __init__ from the module pycorrector/corrector.py in class Corrector'],4329468f1bef610b548ce088fa4a78cb7f8e964c,,,,,,,
Add Parameter,__init__,__init__,pycorrector/detector.py/Detector,22.0,22.0,['The parameters [ custom_word_path ] are added to the method __init__ from the module pycorrector/detector.py in class Detector'],4329468f1bef610b548ce088fa4a78cb7f8e964c,,,,,,,
Rename Method,set_custom_word,set_custom_word_freq,pycorrector/detector.py/Detector,178.0,178.0,['The method set_custom_word from the module pycorrector/detector.py in class Detector is renamed to set_custom_word_freq'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_corpus_by_bert,eval_corpus500_by_bert,pycorrector/utils/eval.py,273.0,273.0,['The method eval_corpus_by_bert from the module pycorrector/utils/eval.py is renamed to eval_corpus500_by_bert'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_corpus_by_ernie,eval_corpus500_by_ernie,pycorrector/utils/eval.py,332.0,332.0,['The method eval_corpus_by_ernie from the module pycorrector/utils/eval.py is renamed to eval_corpus500_by_ernie'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_corpus,eval_corpus500_by_rule,pycorrector/utils/eval.py,219.0,219.0,['The method eval_corpus from the module pycorrector/utils/eval.py is renamed to eval_corpus500_by_rule'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_bert_with_sighan_2015,eval_sighan_2015_by_bert,pycorrector/utils/eval.py,445.0,446.0,['The method eval_bert_with_sighan_2015 from the module pycorrector/utils/eval.py is renamed to eval_sighan_2015_by_bert'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_ernie_with_sighan_2015,eval_sighan_2015_by_ernie,pycorrector/utils/eval.py,502.0,503.0,['The method eval_ernie_with_sighan_2015 from the module pycorrector/utils/eval.py is renamed to eval_sighan_2015_by_ernie'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Rename Method,eval_rule_with_sighan_2015,eval_sighan_2015_by_rule,pycorrector/utils/eval.py,390.0,391.0,['The method eval_rule_with_sighan_2015 from the module pycorrector/utils/eval.py is renamed to eval_sighan_2015_by_rule'],447d686fff9f3fc284af1fa091b9ec57f6f1c5bc,,,,,,,
Remove Parameter,get_errors,get_errors,pycorrector/macbert/infer.py/Inference,79.0,79.0,['The parameters [ blanks_cleaned ] of the method get_errors from the module pycorrector/macbert/infer.py in class Inference is/are removed'],46233befa4beb57b4f10225341b330880e3b30ac,,,,,,,
Add Parameter,train,train,pycorrector/seq2seq/train.py,15.0,16.0,['The parameters [ encoder_model_path decoder_model_path ] are added to the method train from the module pycorrector/seq2seq/train.py'],4b7adb4b8374ccb6eec03c14a3fdff85eab67530,,,,,,,
Move Method,decode_sequence,decode_sequence,,,, method decode_sequence from the module pycorrector/seq2seq/seq2seq_model.py was moved to module pycorrector/seq2seq/infer.py ,4b7adb4b8374ccb6eec03c14a3fdff85eab67530,pycorrector/seq2seq/seq2seq_model.py,pycorrector/seq2seq/infer.py,81.0,91.0,,,
Add Parameter,infer,infer,pycorrector/rnn_crf/infer.py,15.0,15.0,['The parameters [ dropout ] are added to the method infer from the module pycorrector/rnn_crf/infer.py'],4e99f18d78de145acffc3786627a4d19e74604a0,,,,,,,
Add Parameter,create_model,create_model,pycorrector/rnn_crf/rnn_crf_model.py,11.0,11.0,['The parameters [ dropout ] are added to the method create_model from the module pycorrector/rnn_crf/rnn_crf_model.py'],4e99f18d78de145acffc3786627a4d19e74604a0,,,,,,,
