Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,trigger_epoch,_trigger_epoch,tensorpack/callbacks/group.py/TestCallbacks,122.0,122.0,['The method trigger_epoch from the module tensorpack/callbacks/group.py in class TestCallbacks is renamed to _trigger_epoch'],ba2e7ff08520110f8f08bac440c43227de1857ef,,,,,,,
Rename Method,before_train,_before_train,tensorpack/callbacks/group.py/Callbacks,160.0,160.0,['The method before_train from the module tensorpack/callbacks/group.py in class Callbacks is renamed to _before_train'],ba2e7ff08520110f8f08bac440c43227de1857ef,,,,,,,
Rename Method,trigger_epoch,_trigger_epoch,tensorpack/callbacks/group.py/Callbacks,172.0,172.0,['The method trigger_epoch from the module tensorpack/callbacks/group.py in class Callbacks is renamed to _trigger_epoch'],ba2e7ff08520110f8f08bac440c43227de1857ef,,,,,,,
Rename Method,_trigger,_trigger_periodic,tensorpack/callbacks/validation_callback.py/ValidationCallback,71.0,71.0,['The method _trigger from the module tensorpack/callbacks/validation_callback.py in class ValidationCallback is renamed to _trigger_periodic'],ba2e7ff08520110f8f08bac440c43227de1857ef,,,,,,,
Rename Method,_trigger,_trigger_periodic,tensorpack/callbacks/validation_callback.py/ValidationError,98.0,98.0,['The method _trigger from the module tensorpack/callbacks/validation_callback.py in class ValidationError is renamed to _trigger_periodic'],ba2e7ff08520110f8f08bac440c43227de1857ef,,,,,,,
Rename Method,get_input_vars_desc,get_inputs_desc,tensorpack/models/model_desc.py/ModelDesc,83.0,87.0,['The method get_input_vars_desc from the module tensorpack/models/model_desc.py in class ModelDesc is renamed to get_inputs_desc'],bd686aab328d7543ef3335828cd42c4985317470,,,,,,,
Extract Method,get_input_vars,get_reused_placehdrs,tensorpack/models/model_desc.py/ModelDesc,,, The method get_reused_placehdrs from the module tensorpack/models/model_desc.py in class ModelDesc is extracted from method get_input_vars from the module tensorpack/models/model_desc.py in class ModelDesc ,bd686aab328d7543ef3335828cd42c4985317470,"(48,64)",51.0,"[55.0, 56.0, 57.0, 58.0, 59.0]",,,,
Rename Class,InputVar,InputDesc,tensorpack/models/model_desc.py,,, class InputVar was renamed to class InputDesc ,bd686aab328d7543ef3335828cd42c4985317470,,,,,,,
Change/Rename Parameter,Dropout,Dropout,tensorpack/models/regularize.py,42.0,42.0,['The parameters [ prob ] of the method Dropout from the module tensorpack/models/regularize.py are changed/renamed to [keep_prob]'],79dbd18357fd174a925ef8658143938adfa8ee8b,,,,,,,
Rename Method,class_balanced_binary_class_cross_entropy,class_balanced_cross_entropy,tensorpack/tfutils/symbolic_functions.py,33.0,33.0,['The method class_balanced_binary_class_cross_entropy from the module tensorpack/tfutils/symbolic_functions.py is renamed to class_balanced_cross_entropy'],79dbd18357fd174a925ef8658143938adfa8ee8b,,,,,,,
Remove Parameter,QueueInputTrainer,QueueInputTrainer,tensorpack/train/feedfree.py,104.0,104.0,['The parameters [ predict_tower ] of the method QueueInputTrainer from the module tensorpack/train/feedfree.py is/are removed'],171268689e8786d3832eed281b435c9bcff8ae3d,,,,,,,
