Refactoring Type,Original,Updated,Location,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Description,Commit,Original Line,Updated Line,Old Location,New Location,Old Method Line,New Method Line
Change/Rename Parameter,_make_indices,_make_indices,seglearn/split.py/TemporalKFold,,,,['The parameters [ N ] of the method _make_indices from the module seglearn/split.py in class TemporalKFold are changed/renamed to [Ns]'],5c55968b730a0f6ae2306bc07bcad4b297be8868,94.0,108.0,,,,
Add Parameter,__init__,__init__,seglearn/base.py/TS_Data,,,,['The parameters [ sample_period ] are added to the method __init__ from the module seglearn/base.py in class TS_Data'],64cd71744c20c9ca714cddfe5ce7d73e7a031b25,22.0,22.0,,,,
Move Method,base_features,base_features,,,,, method base_features from the module seglearn/features.py in class SegFeatures was moved to module seglearn/features.py ,6eabf1eeaa3c9d64b67d3f29b3c546baa8235671,,,seglearn/features.py/SegFeatures,seglearn/features.py,123.0,206.0
Add Parameter,__init__,__init__,seglearn/transform.py/FeatureRep,,,,['The parameters [ verbose ] are added to the method __init__ from the module seglearn/transform.py in class FeatureRep'],9fc25e3d615986b4e85102a144c42686019e6555,802.0,804.0,,,,
Rename Method,test_common,test_estimator,skltemplate/tests/test_common.py,,,,['The method test_common from the module skltemplate/tests/test_common.py is renamed to test_estimator'],ac6e63b31cbae1aad1d91e1cfcb7b40054148b3e,4.0,5.0,,,,
Add Parameter,transform,transform,seglearn/transform.py/Segment,,,,['The parameters [ y sample_weight ] are added to the method transform from the module seglearn/transform.py in class Segment'],b1de080823e41b921bec2949db2b6c3cb1f1d5ef,68.0,74.0,,,,
Rename Class,SegFeatures,FeatureRep,seglearn/transform.py,,,, class SegFeatures was renamed to class FeatureRep ,b1de080823e41b921bec2949db2b6c3cb1f1d5ef,,,,,,
Move Method,_expand_target_to_segments,_expand_target_to_segments,,,,, method _expand_target_to_segments from the module seglearn/pipe.py in class SegPipe was moved to class Segment of module seglearn/transform.py ,b1de080823e41b921bec2949db2b6c3cb1f1d5ef,,,seglearn/pipe.py/SegPipe,seglearn/transform.py/Segment,282.0,114.0
Remove Parameter,__init__,__init__,seglearn/pipe.py/SegPipe,,,,['The parameters [ overlap ] of the method __init__ from the module seglearn/pipe.py in class SegPipe is/are removed'],b32ff6219f7877b15e976fc341cfdd2b832f8aa3,67.0,70.0,,,,
Rename Class,Segment,SegmentXY,seglearn/transform.py,,,, class Segment was renamed to class SegmentXY ,b32ff6219f7877b15e976fc341cfdd2b832f8aa3,,,,,,
