Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,format,format,nalaf/learning/evaluators.py/Evaluations,108.0,110.0,['The parameters [ add_SE ] are added to the method format from the module nalaf/learning/evaluators.py in class Evaluations'],c385a5fb96ee188f30ed8b75c35cbb05b8b84df1,,,,,,,
Add Parameter,main,main,nala/utils/db_validation.py,13.0,13.0,['The parameters [ root_folder html_path ann_path ] are added to the method main from the module nala/utils/db_validation.py'],c4db240eee14ad3c4e656533db7b012c57c721a6,,,,,,,
Change/Rename Parameter,evaluate,evaluate,nalaf/learning/evaluators.py/DocumentLevelRelationEvaluator,427.0,427.0,['The parameters [ relation ] of the method evaluate from the module nalaf/learning/evaluators.py in class DocumentLevelRelationEvaluator are changed/renamed to [rel_type]'],c638e45b464227ff8cf867db3b27ddbccc0ef783,,,,,,,
Change/Rename Parameter,__init__,__init__,nala/bootstrapping/document_filters.py/HighRecallRegexDocumentFilter,69.0,70.0,['The parameters [ pattern_file ] of the method __init__ from the module nala/bootstrapping/document_filters.py in class HighRecallRegexDocumentFilter are changed/renamed to [pattern_file_name]'],c6b9d1efc1ceaa5961c77dbc563edc8b1b340c51,,,,,,,
Add Parameter,str_token_only,str_token_only,nalaf/utils/graphs.py/Path,239.0,240.0,['The parameters [ token_to_string_fun ] are added to the method str_token_only from the module nalaf/utils/graphs.py in class Path'],c7f04212feb42dbd1df90e2f2f7293f9566f2ca6,,,,,,,
Add Parameter,__init__,__init__,nala/bootstrapping/iteration.py/Iteration,20.0,21.0,['The parameters [ crfsuite_path ] are added to the method __init__ from the module nala/bootstrapping/iteration.py in class Iteration'],c7f85e7e60f08f0144aeb5a2ffb5a145a91062ed,,,,,,,
Extract Method,add_to_feature_set,__set_final_name,nalaf/features/relations/__init__.py/EdgeFeatureGenerator,,, The method __set_final_name from the module nalaf/features/relations/__init__.py in class EdgeFeatureGenerator is extracted from method add_to_feature_set from the module nalaf/features/relations/__init__.py in class EdgeFeatureGenerator ,cb8c6e91710f32c0b7f46b9da8b2445409cb3517,,,,,"(24,24)",51.0,"[34.0, 35.0, 37.0, 38.0]"
Rename Method,train,learn,nala/learning/crfsuite.py/CRFSuite,54.0,54.0,['The method train from the module nala/learning/crfsuite.py in class CRFSuite is renamed to learn'],cc464b96c5eb6e92a54e03699cdd26864f2c74e2,,,,,,,
Rename Method,test,tag,nala/learning/crfsuite.py/CRFSuite,65.0,64.0,['The method test from the module nala/learning/crfsuite.py in class CRFSuite is renamed to tag'],cc464b96c5eb6e92a54e03699cdd26864f2c74e2,,,,,,,
Add Parameter,main,main,nala/utils/db_validation.py,17.0,9.0,['The parameters [ html_path ann_path ] are added to the method main from the module nala/utils/db_validation.py'],cd16b2ad7edd5ed532bce50a905ef9a30ed7cd25,,,,,,,
Add Parameter,__init__,__init__,nalaf/utils/readers.py/VerspoorReader,152.0,152.0,['The parameters [ mut_class_id ] are added to the method __init__ from the module nalaf/utils/readers.py in class VerspoorReader'],cd62675b914336eeae729f5e2f2ef74a558b6b4f,,,,,,,
Add Parameter,__init__,__init__,nalaf/utils/readers.py/TmVarReader,275.0,279.0,['The parameters [ mut_class_id ] are added to the method __init__ from the module nalaf/utils/readers.py in class TmVarReader'],cd62675b914336eeae729f5e2f2ef74a558b6b4f,,,,,,,
Add Parameter,__init__,__init__,nalaf/utils/readers.py/OSIRISReaderMachineLearningReady,460.0,468.0,['The parameters [ mut_class_id ] are added to the method __init__ from the module nalaf/utils/readers.py in class OSIRISReaderMachineLearningReady'],cd62675b914336eeae729f5e2f2ef74a558b6b4f,,,,,,,
Add Parameter,protein_symbols,protein_symbols,nala/features/tmvar.py/TmVarDefault,184.0,187.0,['The parameters [ last_str ] are added to the method protein_symbols from the module nala/features/tmvar.py in class TmVarDefault'],cf597a6c9116bd8981a5ad36facf51215552c8a6,,,,,,,
Change/Rename Parameter,__init__,__init__,nalaf/features/relations/path.py/PathFeatureGenerator,12.0,12.0,['The parameters [ prefix_66_txt_dep_to_0_masked ] of the method __init__ from the module nalaf/features/relations/path.py in class PathFeatureGenerator are changed/renamed to [prefix_66_masked_txt_dep_to_0]'],cf8853d8a8640abeab7b53c7a1978b44138b3c16,,,,,,,
Add Parameter,general_algorithm,general_algorithm,source/test.py,194.0,200.0,['The parameters [ is_export ] are added to the method general_algorithm from the module source/test.py'],d0c0bf6eec17ebb938fc933d2b85c27a8cfb397f,,,,,,,
Add Parameter,map,map,nalaf/structures/data.py/Relation,1352.0,1352.0,['The parameters [ prefix_with_rel_type ] are added to the method map from the module nalaf/structures/data.py in class Relation'],d2c210457e435175b400495c944149974d6eee18,,,,,,,
Add Parameter,check_db_integrity,check_db_integrity,nala/utils/db_validation.py,75.0,71.0,['The parameters [ documents ] are added to the method check_db_integrity from the module nala/utils/db_validation.py'],d5989fd2407660844d444f33a2865bb84c9242ab,,,,,,,
Add Parameter,import_html_to_db,import_html_to_db,nala/utils/db_validation.py,26.0,24.0,['The parameters [ documents filelist ] are added to the method import_html_to_db from the module nala/utils/db_validation.py'],d5989fd2407660844d444f33a2865bb84c9242ab,,,,,,,
Add Parameter,import_json_to_db,import_json_to_db,nala/utils/db_validation.py,53.0,51.0,['The parameters [ documents jsonlist ] are added to the method import_json_to_db from the module nala/utils/db_validation.py'],d5989fd2407660844d444f33a2865bb84c9242ab,,,,,,,
Add Parameter,main,main,nala/utils/db_validation.py,17.0,9.0,['The parameters [ root_folder html_path ann_path ] are added to the method main from the module nala/utils/db_validation.py'],d5989fd2407660844d444f33a2865bb84c9242ab,,,,,,,
Add Parameter,__init__,__init__,nalaf/structures/relation_pipelines.py/RelationExtractionPipeline,36.0,30.0,['The parameters [ feature_set ] are added to the method __init__ from the module nalaf/structures/relation_pipelines.py in class RelationExtractionPipeline'],d5de1aaf429fa2504dfd1f8057eb82211a1730ff,,,,,,,
Remove Parameter,execute,execute,nalaf/structures/relation_pipelines.py/RelationExtractionPipeline,108.0,82.0,['The parameters [ feature_set ] of the method execute from the module nalaf/structures/relation_pipelines.py in class RelationExtractionPipeline is/are removed'],d5de1aaf429fa2504dfd1f8057eb82211a1730ff,,,,,,,
Rename Class,StubSameDocumentPartRelationExtractor,StubSamePartRelationExtractor,nalaf/learning/taggers.py,,, class StubSameDocumentPartRelationExtractor was renamed to class StubSamePartRelationExtractor ,d6b7babb083c6fba9d5c216422e8e20e5ad4a96e,,,,,,,
Add Parameter,get_genes_for_pmid,get_genes_for_pmid,nala/utils/ncbi_utils.py/GNormPlus,17.0,19.0,['The parameters [ postproc ] are added to the method get_genes_for_pmid from the module nala/utils/ncbi_utils.py in class GNormPlus'],d83eb1c42a55288ca129df6f6d6088faa558cc1b,,,,,,,
Add Parameter,get_genes_for_text,get_genes_for_text,nala/utils/ncbi_utils.py/GNormPlus,35.0,46.0,['The parameters [ docid postproc ] are added to the method get_genes_for_text from the module nala/utils/ncbi_utils.py in class GNormPlus'],d83eb1c42a55288ca129df6f6d6088faa558cc1b,,,,,,,
Add Parameter,__init__,__init__,nala/bootstrapping/iteration.py/Iteration,16.0,17.0,['The parameters [ iteration_nr ] are added to the method __init__ from the module nala/bootstrapping/iteration.py in class Iteration'],de135202aa428b939e7b5d6526729c00a6fe9703,,,,,,,
Extract Method,annotate,read_files_localfs,nalaf/utils/annotation_readers.py/AnnJsonAnnotationReader,,, The method read_files_localfs from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader is extracted from method annotate from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader ,de4cd9a26dae3d21066b6a87da4c16fa81e3750a,,,,,"(61,61)",81.0,"[65.0, 66.0, 68.0, 72.0, 73.0, 74.0, 75.0]"
Change/Rename Parameter,get_sentence_index_for_annotation,get_sentence_index_for_annotation,nalaf/structures/data.py/Part,933.0,968.0,['The parameters [ annotation ] of the method get_sentence_index_for_annotation from the module nalaf/structures/data.py in class Part are changed/renamed to [entity]'],e186f2cd05338f4f5787c972890136a2192a8eb8,,,,,,,
Rename Class,NTLKSplitter,NLTKSplitter,source/preprocessing/spliters.py,,, class NTLKSplitter was renamed to class NLTKSplitter ,e3221cac695b778263f4d0c6982281985fd6891e,,,,,,,
Add Parameter,add_n_grams,add_n_grams,nalaf/features/relations/new/dependency.py/DependencyFeatureGenerator,192.0,193.0,['The parameters [ use_pred ] are added to the method add_n_grams from the module nalaf/features/relations/new/dependency.py in class DependencyFeatureGenerator'],e36fc89e1ca413d692d003eb6e70fb6779803716,,,,,,,
Add Parameter,masked_text,masked_text,nalaf/features/util.py,8.0,9.0,['The parameters [ used_pred ] are added to the method masked_text from the module nalaf/features/util.py'],e36fc89e1ca413d692d003eb6e70fb6779803716,,,,,,,
Add Parameter,get_entity,get_entity,nalaf/structures/data.py/Part,1079.0,1079.0,['The parameters [ use_pred ] are added to the method get_entity from the module nalaf/structures/data.py in class Part'],e36fc89e1ca413d692d003eb6e70fb6779803716,,,,,,,
Add Parameter,get_entity,get_entity,nalaf/structures/data.py/Token,1852.0,1851.0,['The parameters [ use_pred ] are added to the method get_entity from the module nalaf/structures/data.py in class Token'],e36fc89e1ca413d692d003eb6e70fb6779803716,,,,,,,
Rename Method,num_chars,num_alpha,nala/features/tmvar.py/TmVarFeatureGenerator,124.0,110.0,['The method num_chars from the module nala/features/tmvar.py in class TmVarFeatureGenerator is renamed to num_alpha'],e37491ab7081be584dbc73be2ddc0bb360a2424a,,,,,,,
Rename Method,num_digits_chars,num_digits,nala/features/tmvar.py/TmVarFeatureGenerator,120.0,106.0,['The method num_digits_chars from the module nala/features/tmvar.py in class TmVarFeatureGenerator is renamed to num_digits'],e37491ab7081be584dbc73be2ddc0bb360a2424a,,,,,,,
Add Parameter,read_predictions,read_predictions,nala/learning/crfsuite.py/CRFSuite,65.0,65.0,['The parameters [ class_id ] are added to the method read_predictions from the module nala/learning/crfsuite.py in class CRFSuite'],e37491ab7081be584dbc73be2ddc0bb360a2424a,,,,,,,
Add Parameter,form_predicted_annotations,form_predicted_annotations,nala/structures/data.py/Dataset,333.0,333.0,['The parameters [ class_id ] are added to the method form_predicted_annotations from the module nala/structures/data.py in class Dataset'],e37491ab7081be584dbc73be2ddc0bb360a2424a,,,,,,,
Add Parameter,__init__,__init__,nalaf/utils/readers.py/OSIRISReader,615.0,616.0,['The parameters [ mut_class_id ] are added to the method __init__ from the module nalaf/utils/readers.py in class OSIRISReader'],e39e370cd942f92d802e823122bdc23692f40e39,,,,,,,
Extract Method,__init__,__mk_list_rm_None,nalaf/utils/graphs.py/Path,,, The method __mk_list_rm_None from the module nalaf/utils/graphs.py in class Path is extracted from method __init__ from the module nalaf/utils/graphs.py in class Path ,e4ccf3b8e144dba3b9c4e448be8fe1443104c10e,,,,,"(195,195)",249.0,[207.0]
Rename Method,gen_preffeatname_add,add,nalaf/features/relations/__init__.py/EdgeFeatureGenerator,70.0,70.0,['The method gen_preffeatname_add from the module nalaf/features/relations/__init__.py in class EdgeFeatureGenerator is renamed to add'],e5059457fde94924821d5482b17fa3b0bc4284a9,,,,,,,
Rename Class,EntityLevelEvaluator,EntityEvaluator,nalaf/learning/evaluators.py,,, class EntityLevelEvaluator was renamed to class EntityEvaluator ,e6ce48146c0313c3672a6b3f96418853538920d5,,,,,,,
Add Parameter,get_combined_sentence,get_combined_sentence,nalaf/structures/data.py/Edge,1657.0,1657.0,['The parameters [ recreate_user_dependencies ] are added to the method get_combined_sentence from the module nalaf/structures/data.py in class Edge'],e6fa51df6600a448043c6e4cdbcb9576884faad8,,,,,,,
Change/Rename Parameter,__eq__,__eq__,nalaf/structures/data.py/Entity,1984.0,1984.0,['The parameters [ other ] of the method __eq__ from the module nalaf/structures/data.py in class Entity are changed/renamed to [that]'],e9fd48728bde3dd9be995e1e27939361b8eae8d7,,,,,,,
Add Parameter,__init__,__init__,nala/bootstrapping/document_filters.py/HighRecallRegexDocumentFilter,76.0,76.0,['The parameters [ crfsuite_path ] are added to the method __init__ from the module nala/bootstrapping/document_filters.py in class HighRecallRegexDocumentFilter'],ebc888015369745abb197d3738c59a1e8d47df4d,,,,,,,
Rename Class,SimpleD1EdgeGenerator,SentenceDistanceEdgeGenerator,nalaf/preprocessing/edges.py,,, class SimpleD1EdgeGenerator was renamed to class SentenceDistanceEdgeGenerator ,ebe4256914107273feb1da940fc3e4237731365e,,,,,,,
Change/Rename Parameter,token_features,token_features,nalaf/features/relations/__init__.py/TokenFeatureGenerator,92.0,105.0,['The parameters [ prefix ] of the method token_features from the module nalaf/features/relations/__init__.py in class TokenFeatureGenerator are changed/renamed to [addendum]'],ed19e1248722d30cf603711d114e6de62f24fc40,,,,,,,
Remove Parameter,__init__,__init__,nala/learning/taggers.py/GNormPlusGeneTagger,82.0,82.0,['The parameters [ predicts_classes ] of the method __init__ from the module nala/learning/taggers.py in class GNormPlusGeneTagger is/are removed'],ed9654ddfc332b6aa0d1c88d4daf94a609e5233f,,,,,,,
Remove Parameter,__init__,__init__,nala/learning/taggers.py/RelationshipExtractionGeneMutation,132.0,132.0,['The parameters [ predicts_classes ] of the method __init__ from the module nala/learning/taggers.py in class RelationshipExtractionGeneMutation is/are removed'],ed9654ddfc332b6aa0d1c88d4daf94a609e5233f,,,,,,,
Add Parameter,__init__,__init__,nalaf/features/relations/sentence.py/BagOfWordsFeatureGenerator,33.0,34.0,['The parameters [ prefix_bow_text prefix_ne_bow_count ] are added to the method __init__ from the module nalaf/features/relations/sentence.py in class BagOfWordsFeatureGenerator'],efe43cd5b10ea243f41d375d7fb07f445c864dad,,,,,,,
Add Parameter,__init__,__init__,nalaf/features/relations/sentence.py/StemmedBagOfWordsFeatureGenerator,71.0,83.0,['The parameters [ prefix_bow_stem ] are added to the method __init__ from the module nalaf/features/relations/sentence.py in class StemmedBagOfWordsFeatureGenerator'],efe43cd5b10ea243f41d375d7fb07f445c864dad,,,,,,,
Add Parameter,add_n_grams,add_n_grams,nalaf/features/relations/new/dependency.py/DependencyFeatureGenerator,194.0,194.0,['The parameters [ use_gold ] are added to the method add_n_grams from the module nalaf/features/relations/new/dependency.py in class DependencyFeatureGenerator'],f541ce088d461adac6880377d7dca3f2cd1532a9,,,,,,,
Add Parameter,masked_text,masked_text,nalaf/features/util.py,9.0,9.0,['The parameters [ use_gold ] are added to the method masked_text from the module nalaf/features/util.py'],f541ce088d461adac6880377d7dca3f2cd1532a9,,,,,,,
Add Parameter,_addRootLinks,_addRootLinks,nalaf/structures/data.py/Edge,1731.0,1730.0,['The parameters [ edge ] are added to the method _addRootLinks from the module nalaf/structures/data.py in class Edge'],f541ce088d461adac6880377d7dca3f2cd1532a9,,,,,,,
Add Parameter,_addWordSimilarityLinks,_addWordSimilarityLinks,nalaf/structures/data.py/Edge,1763.0,1762.0,['The parameters [ edge ] are added to the method _addWordSimilarityLinks from the module nalaf/structures/data.py in class Edge'],f541ce088d461adac6880377d7dca3f2cd1532a9,,,,,,,
Add Parameter,get_entity,get_entity,nalaf/structures/data.py/Token,1882.0,1881.0,['The parameters [ use_gold ] are added to the method get_entity from the module nalaf/structures/data.py in class Token'],f541ce088d461adac6880377d7dca3f2cd1532a9,,,,,,,
Add Parameter,check_db_integrity,check_db_integrity,nala/utils/db_validation.py,75.0,89.0,['The parameters [ documents ] are added to the method check_db_integrity from the module nala/utils/db_validation.py'],f558b935a7d4dca8328c1201a26b762029695e8f,,,,,,,
Add Parameter,import_html_to_db,import_html_to_db,nala/utils/db_validation.py,26.0,40.0,['The parameters [ documents filelist ] are added to the method import_html_to_db from the module nala/utils/db_validation.py'],f558b935a7d4dca8328c1201a26b762029695e8f,,,,,,,
Add Parameter,import_json_to_db,import_json_to_db,nala/utils/db_validation.py,53.0,67.0,['The parameters [ documents jsonlist ] are added to the method import_json_to_db from the module nala/utils/db_validation.py'],f558b935a7d4dca8328c1201a26b762029695e8f,,,,,,,
Change/Rename Parameter,__init__,__init__,nalaf/utils/annotation_readers.py/AnnJsonAnnotationReader,40.0,41.0,['The parameters [ read_just_mutations ] of the method __init__ from the module nalaf/utils/annotation_readers.py in class AnnJsonAnnotationReader are changed/renamed to [read_only_class_id]'],f7a0fe6553a84b7645c42b68776fd0b3f772ffe1,,,,,,,
Change/Rename Parameter,__init__,__init__,nalaf/utils/annotation_readers.py/AnnJsonMergerAnnotationReader,134.0,137.0,['The parameters [ read_just_mutations ] of the method __init__ from the module nalaf/utils/annotation_readers.py in class AnnJsonMergerAnnotationReader are changed/renamed to [read_only_class_id]'],f7a0fe6553a84b7645c42b68776fd0b3f772ffe1,,,,,,,
Remove Parameter,__init__,__init__,relna/learning/svmlight.py/SVMLightTreeKernels,15.0,16.0,['The parameters [ model ] of the method __init__ from the module relna/learning/svmlight.py in class SVMLightTreeKernels is/are removed'],f7c93b9b141c337daed34afe4ddc925becd01e22,,,,,,,
Change/Rename Parameter,__init__,__init__,nalaf/features/relations/new/dependency.py/DependencyFeatureGenerator,28.0,28.0,['The parameters [ f_OW_tokens_count_N_gram f_OW_tokens_count_without_punct_N_gram f_IW_tokens_count_N_gram f_IW_tokens_count_without_punct_N_gram f_LD_tokens_count_N_gram f_LD_tokens_count_without_punct_N_gram f_PD_tokens_count_N_gram f_PD_tokens_count_without_punct_N_gram ] of the method __init__ from the module nalaf/features/relations/new/dependency.py in class DependencyFeatureGenerator are changed/renamed to [f_OW_tokens_count f_OW_tokens_count_without_punct f_IW_tokens_count f_IW_tokens_count_without_punct f_LD_tokens_count f_LD_tokens_count_without_punct f_PD_tokens_count f_PD_tokens_count_without_punct]'],f827decbbbdc5e42df2e4af0ab094bcb9a389a9b,,,,,,,
Add Parameter,__init__,__init__,nalaf/learning/taggers.py/StubSameSentenceRelationExtractor,168.0,168.0,['The parameters [ use_gold use_pred ] are added to the method __init__ from the module nalaf/learning/taggers.py in class StubSameSentenceRelationExtractor'],fabd86eb2061a2083a983df9bb66bd6766415c67,,,,,,,
Add Parameter,__init__,__init__,nala/utils/writers.py/ConsoleWriter,330.0,330.0,['The parameters [ color ] are added to the method __init__ from the module nala/utils/writers.py in class ConsoleWriter'],fad8c7cb16e4aabcaaa781e457f272148cea76c9,,,,,,,
Rename Method,clean_nl_definitions,clean_subclasses,nalaf/structures/data.py/Dataset,274.0,274.0,['The method clean_nl_definitions from the module nalaf/structures/data.py in class Dataset is renamed to clean_subclasses'],fcceb9d3bffa0c31b03167cc463ea651619ffab0,,,,,,,
Extract Method,_convert_edges_features_to_vector_instances,_convert_edges_features_reusing_computed_vector_instances,nalaf/learning/lib/sklsvm.py/SklSVM,,, The method _convert_edges_features_reusing_computed_vector_instances from the module nalaf/learning/lib/sklsvm.py in class SklSVM is extracted from method _convert_edges_features_to_vector_instances from the module nalaf/learning/lib/sklsvm.py in class SklSVM ,fd8ae410a28961a5370fa1f388d4587ff98bafdc,,,,,"(80,120)",133.0,"[89.0, 96.0, 97.0, 99.0, 106.0, 120.0]"
Extract Method,_convert_edges_features_to_vector_instances,_convert_edges_features_anew,nalaf/learning/lib/sklsvm.py/SklSVM,,, The method _convert_edges_features_anew from the module nalaf/learning/lib/sklsvm.py in class SklSVM is extracted from method _convert_edges_features_to_vector_instances from the module nalaf/learning/lib/sklsvm.py in class SklSVM ,fd8ae410a28961a5370fa1f388d4587ff98bafdc,,,,,"(80,120)",149.0,"[84.0, 86.0, 87.0, 89.0, 90.0, 96.0, 97.0, 99.0, 100.0, 101.0, 102.0, 103.0, 104.0, 106.0, 108.0, 110.0, 113.0, 114.0, 117.0, 118.0, 120.0]"
Rename Method,__calc_measures,calc_measures,nala/learning/evaluators.py/MentionLevelEvaluator,150.0,150.0,['The method __calc_measures from the module nala/learning/evaluators.py in class MentionLevelEvaluator is renamed to calc_measures'],fe721915902feb1828bab248580bd143ee1eec7c,,,,,,,
Extract Method,tag,annotate,nalaf/learning/taggers.py/StubSameSentenceRelationExtractor,,, The method annotate from the module nalaf/learning/taggers.py in class StubSameSentenceRelationExtractor is extracted from method tag from the module nalaf/learning/taggers.py in class StubSameSentenceRelationExtractor ,ff613c1b2e5bc5c4531996724bb662b334768489,,,,,"(122,134)",138.0,"[123.0, 124.0, 125.0, 128.0, 129.0]"
