e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
e9c792f8656d2df6d43ba1f752f184310e0b4a58,Rename Parameter,DefaultNodeSettingsServiceTest,90,90,
c64aabef9da30e9e1d335ee7950c90351b2d9f48,Extract Method,WebUINodeFactory,96,104,
c64aabef9da30e9e1d335ee7950c90351b2d9f48,Extract Method,WebUINodeFactory,96,104,
c64aabef9da30e9e1d335ee7950c90351b2d9f48,Extract Method,WebUINodeFactory,96,104,
2e3a70d7f6b5c208856569133ad9da70fa8b408f,Add Class Modifier,WebUINodeConfiguration,54,54,
2e3a70d7f6b5c208856569133ad9da70fa8b408f,Add Class Modifier,WebUINodeConfiguration,54,54,
2e3a70d7f6b5c208856569133ad9da70fa8b408f,Add Class Modifier,WebUINodeConfiguration,54,54,
6ccc87c1fcf0faee7e52225c3892d5df3e21e2f7,Change Method Access Modifier,TableTestUtil,163,163,
b7d02fa3f891e5e47f85169378e606f331b8a593,Add Method Annotation,UriCellFactory,24,31,
c5b3f9314265e68769b3aa67c705eb98f7498bf0,Modify Method Annotation,NodeTemplateIdTest,95,95,
d18db479059bb648177183375f6376515326afc4,Change Method Access Modifier,FileUtil,1685,1685,
74557b60e89581f637b73f0883f040b4849e21b5,Add Method Annotation,ConfigurableNodeFactory,115,125,
eeaeae221019b9092c26ba8dc74e5dc093a69f78,Add Method Annotation,NodeTemplateIdTest,89,95,
e56e0c2bd4084c6f5e373f57b8341fd617ad923e,Modify Attribute Annotation,TableViewViewSettings,83,83,
6b8d549260827747b4523846cd55bc742cdec667,Add Method Annotation,RemoteWorkflowContext,104,122,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
4f4b93a9eb1930e55679523890f72a9e5614d30c,Extract Variable,TableViewDataServiceImpl,287,288,
dd3117647dec85f60e6fa9c5305d139f8b9cd91c,Extract Method,NodeTemplateId,92,104,
acf505b98dd7328e1d9e144d201b6b4ec26b0986,Rename Parameter,TableViewUtil,195,195,
acf505b98dd7328e1d9e144d201b6b4ec26b0986,Rename Parameter,TableViewUtil,195,195,
cc47b65069c0425d1bcc06a141a48539101dac7c,Remove Parameter,TableViewDataServiceImpl,399,398,
cc47b65069c0425d1bcc06a141a48539101dac7c,Remove Parameter,TableViewDataServiceImpl,399,398,
cc47b65069c0425d1bcc06a141a48539101dac7c,Remove Parameter,TableViewDataServiceImpl,399,398,
cc47b65069c0425d1bcc06a141a48539101dac7c,Remove Parameter,TableViewDataServiceImpl,399,398,
